POID,OrderDateKey,OrderDate,SupplierID,ProductID,Status,ApprovalStatus,Currency,IncoTerms,PortOfLoading,OrderedQty,ReceivedQty,receipt_rate,UnitCost_USD,TotalCost_USD,FreightCost_USD,ExchangeRate,ExpectedDeliveryDate,ActualDeliveryDate,expected_lead_time_days,actual_lead_time_days,is_late_delivery,_gold_built_at
PO000017,20230203,2023-02-03,SUP0008,PRD0007,Fully Received,Approved,JPY,FOB,Vancouver,634.0,634.0,1.0,2192.34,1389943.56,2549.09,1.0,2023-04-04,2023-04-22,60.0,78.0,1.0,2026-06-24 00:14:59.277238
PO000018,20220806,2022-08-06,SUP0004,PRD0029,Open,Approved,SEK,EXW,Rotterdam,1533.0,0.0,0.0,1234.32,1892212.56,7826.55,1.0,2022-10-21,,76.0,,,2026-06-24 00:14:59.277238
PO000019,20220520,2022-05-20,SUP0016,PRD0026,Fully Received,Approved,BRL,FOB,Yokohama,4369.0,4369.0,1.0,2290.7,10008068.3,15126.76,1.0,2022-05-27,2022-05-23,7.0,3.0,0.0,2026-06-24 00:14:59.277238
PO000020,20220118,2022-01-18,SUP0039,PRD0015,Fully Received,Pending,SEK,FCA,Shanghai,3101.0,3101.0,1.0,679.66,2107625.66,5274.53,1.0771,,2022-03-03,,44.0,0.0,2026-06-24 00:14:59.277238
PO000021,20230727,2023-07-27,SUP0031,PRD0015,Fully Received,Approved,EUR,FOB,Vancouver,272.0,272.0,1.0,462.09,125688.48,1958.38,1.0,2023-08-23,2023-08-20,27.0,24.0,0.0,2026-06-24 00:14:59.277238
PO000023,20230129,2023-01-29,SUP0021,PRD0038,Cancelled,Approved,CAD,DDP,Shanghai,2683.0,0.0,0.0,488.2,1309840.6,,1.255,2023-02-12,,14.0,,,2026-06-24 00:14:59.277238
PO000024,20221027,2022-10-27,SUP0006,PRD0033,Fully Received,Approved,USD,FOB,Vancouver,1153.0,1153.0,1.0,2266.07,2612778.71,8899.25,1.0,2022-12-02,2022-12-04,36.0,38.0,1.0,2026-06-24 00:14:59.277238
PO000025,20240220,2024-02-20,SUP0039,PRD0020,Fully Received,Approved,CAD,EXW,Santos,2082.0,2082.0,1.0,1575.66,3280524.12,11151.94,1.3195,2024-04-17,2024-04-17,57.0,57.0,0.0,2026-06-24 00:14:59.277238
PO000026,20230219,2023-02-19,SUP0036,PRD0016,Partially Received,Approved,CAD,FCA,Rotterdam,2997.0,1283.0,0.4281,2244.67,6727275.99,21698.64,1.0,2023-04-10,2023-04-18,50.0,58.0,1.0,2026-06-24 00:14:59.277238
PO000027,,,SUP0039,PRD0019,Fully Received,Approved,BRL,EXW,Yokohama,4731.0,4731.0,1.0,646.23,3057314.13,36311.93,1.0,2022-02-09,2022-02-19,,,1.0,2026-06-24 00:14:59.277238
PO000028,20230425,2023-04-25,SUP0008,PRD0017,Open,Approved,CAD,DDP,Yokohama,2614.0,1868.0,0.7146,1054.6,2756724.4,20646.62,1.0,2023-05-16,2023-05-16,21.0,21.0,0.0,2026-06-24 00:14:59.277238
PO000030,20240726,2024-07-26,SUP0012,PRD0012,Fully Received,Approved,CAD,DAP,Hamburg,4532.0,4532.0,1.0,1229.07,5570145.24,34913.55,1.2681,2024-08-23,2024-08-28,28.0,33.0,1.0,2026-06-24 00:14:59.277238
PO000031,20220603,2022-06-03,SUP0025,PRD0035,Fully Received,Approved,JPY,EXW,Yokohama,3438.0,3438.0,1.0,,9673431.84,11831.34,1.0,2022-07-02,2022-07-15,29.0,42.0,1.0,2026-06-24 00:14:59.277238
PO000032,20230224,2023-02-24,SUP0001,PRD0023,Fully Received,Approved,USD,FOB,Vancouver,4750.0,4750.0,1.0,2109.42,10019745.0,31036.61,0.8743,2023-04-15,2023-04-22,50.0,57.0,1.0,2026-06-24 00:14:59.277238
PO000033,20230607,2023-06-07,SUP0017,PRD0002,Fully Received,Approved,USD,EXW,Port Of Ny,2244.0,2244.0,1.0,1847.75,4146351.0,4860.82,1.0,2023-07-01,2023-05-07,24.0,-31.0,0.0,2026-06-24 00:14:59.277238
PO000034,20240928,2024-09-28,SUP0025,PRD0024,Fully Received,Approved,NOK,FOB,Yokohama,2821.0,2821.0,1.0,2539.95,7165198.95,10940.47,1.0,,2024-10-18,,20.0,0.0,2026-06-24 00:14:59.277238
PO000035,20240609,2024-06-09,SUP0037,PRD0034,Open,Approved,SEK,FCA,<Na>,301.0,0.0,0.0,2011.01,605314.01,1917.63,1.0,2024-07-09,,30.0,,,2026-06-24 00:14:59.277238
PO000036,20231101,2023-11-01,SUP0011,PRD0017,Open,Approved,EUR,CIF,Vancouver,870.0,0.0,0.0,,133327.5,2001.5,1.0,,,,,,2026-06-24 00:14:59.277238
PO000037,20220714,2022-07-14,SUP0014,PRD0012,Cancelled,Approved,CAD,EXW,Vancouver,-177.0,0.0,,,362777.43,1311.99,1.0976,2022-10-07,,85.0,,,2026-06-24 00:14:59.277238
PO000038,20230309,2023-03-09,SUP0005,PRD0032,Fully Received,Approved,USD,CIF,Hamburg,2156.0,2156.0,1.0,1645.02,3546663.12,5498.57,1.0,2023-05-01,2023-05-29,53.0,81.0,1.0,2026-06-24 00:14:59.277238
PO000039,20230108,2023-01-08,SUP0012,PRD0009,Partially Received,Approved,CAD,FOB,Port Of La,3965.0,1154.0,0.291,,5690052.55,18030.19,1.0,2023-01-28,2023-02-05,20.0,28.0,1.0,2026-06-24 00:14:59.277238
PO000041,20241211,2024-12-11,SUP0018,PRD0009,Partially Received,Approved,NOK,CIF,Port Of La,1330.0,520.0,0.391,1149.68,1529074.4,4655.82,1.0,,2025-02-12,,63.0,0.0,2026-06-24 00:14:59.277238
PO000042,20221229,2022-12-29,SUP0022,PRD0016,Fully Received,Approved,JPY,FOB,Port Of La,4920.0,4920.0,1.0,1698.19,8355094.8,,1.2138,2023-02-09,2023-02-16,42.0,49.0,1.0,2026-06-24 00:14:59.277238
PO000043,20240109,2024-01-09,SUP0019,PRD0007,Fully Received,Approved,JPY,EXW,<Na>,2247.0,2247.0,1.0,1675.47,3764781.09,5273.19,,2024-03-15,2024-03-30,66.0,81.0,1.0,2026-06-24 00:14:59.277238
PO000044,20240715,2024-07-15,SUP0018,PRD0017,Fully Received,Approved,BRL,FCA,Yokohama,3298.0,3298.0,1.0,1042.13,3436944.74,19568.45,,2024-08-23,2024-09-11,39.0,58.0,1.0,2026-06-24 00:14:59.277238
PO000045,20231004,2023-10-04,SUP0016,PRD0013,Open,Approved,NOK,FOB,Santos,1260.0,0.0,0.0,2450.52,3087655.2,5027.47,1.0,2023-12-26,,83.0,,,2026-06-24 00:14:59.277238
PO000046,20240119,2024-01-19,SUP0029,PRD0039,Partially Received,Approved,JPY,DDP,Yokohama,0.0,0.0,,211.03,0.0,0.0,1.0,2024-03-31,2024-04-14,72.0,86.0,1.0,2026-06-24 00:14:59.277238
PO000047,20230208,2023-02-08,SUP0026,PRD0015,Fully Received,Approved,USD,FCA,Shanghai,872.0,872.0,1.0,487.55,425143.6,2013.38,1.069,2023-02-18,2023-03-01,10.0,21.0,1.0,2026-06-24 00:14:59.277238
PO000048,20230723,2023-07-23,SUP0021,PRD0007,Open,Pending,SEK,EXW,Port Of La,238.0,0.0,0.0,493.4,117429.2,705.51,1.0,2023-10-04,,73.0,,,2026-06-24 00:14:59.277238
PO000049,20220118,2022-01-18,SUP0012,PRD0033,Fully Received,Approved,NOK,FCA,Vancouver,4569.0,4569.0,1.0,2847.37,13009633.53,24920.01,,2022-01-29,2022-01-25,11.0,7.0,0.0,2026-06-24 00:14:59.277238
PO000050,20230112,2023-01-12,SUP0012,PRD0019,Fully Received,Approved,JPY,CIF,Vancouver,2771.0,2771.0,1.0,1491.99,4134304.29,13277.58,1.0,2023-03-11,2023-03-26,58.0,73.0,1.0,2026-06-24 00:14:59.277238
PO000051,20230925,2023-09-25,SUP0010,PRD0032,Partially Received,Approved,CAD,,Santos,4310.0,4310.0,1.0,,2825592.9,9824.74,0.8147,2023-10-30,2023-11-08,35.0,44.0,1.0,2026-06-24 00:14:59.277238
PO000052,20240117,2024-01-17,SUP0008,PRD0002,Fully Received,Approved,NOK,FCA,Shanghai,2685.0,2685.0,1.0,1623.17,4358211.45,14787.07,1.0902,2024-01-31,2024-03-01,14.0,44.0,1.0,2026-06-24 00:14:59.277238
PO000053,20240130,2024-01-30,SUP0040,PRD0040,Partially Received,Approved,EUR,FOB,Shanghai,3982.0,2951.0,0.7411,2931.79,,,,2024-04-18,2024-04-17,79.0,78.0,0.0,2026-06-24 00:14:59.277238
PO000054,20240202,2024-02-02,SUP0006,PRD0024,Open,Approved,NOK,EXW,Port Of La,2873.0,,,324.14,931254.22,,0.7517,2024-03-29,,56.0,,,2026-06-24 00:14:59.277238
PO000055,20220505,2022-05-05,SUP0002,PRD0024,Partially Received,Approved,SEK,DAP,Yokohama,4074.0,2709.0,0.6649,758.51,3090169.74,21272.46,1.0,2022-06-01,2022-06-16,27.0,42.0,1.0,2026-06-24 00:14:59.277238
PO000056,20230720,2023-07-20,SUP0015,PRD0016,Fully Received,Approved,NOK,FCA,Santos,3349.0,3349.0,1.0,128.18,429274.82,13235.17,1.0276,2023-09-15,2023-10-15,57.0,87.0,1.0,2026-06-24 00:14:59.277238
PO000057,20220311,2022-03-11,SUP0026,PRD0015,Fully Received,Approved,SEK,FCA,Santos,1329.0,1329.0,1.0,1476.45,1962202.05,883.98,0.8825,2022-03-25,2022-04-09,14.0,29.0,1.0,2026-06-24 00:14:59.277238
PO000058,20230715,2023-07-15,SUP0009,PRD0013,Fully Received,Approved,SEK,CIF,Shanghai,4529.0,4529.0,1.0,1218.49,,12407.54,1.0,,2023-08-30,,46.0,0.0,2026-06-24 00:14:59.277238
PO000059,20230901,2023-09-01,SUP0032,PRD0024,Partially Received,Approved,SEK,CIF,Yokohama,3762.0,3762.0,1.0,2374.98,8934674.76,29491.36,1.0,2023-09-17,2023-10-08,16.0,37.0,1.0,2026-06-24 00:14:59.277238
PO000060,20230713,2023-07-13,SUP0036,PRD0012,Partially Received,Approved,JPY,EXW,Shanghai,3886.0,539.0,0.1387,2900.97,11273169.42,,1.0,2023-10-10,2023-10-21,89.0,100.0,1.0,2026-06-24 00:14:59.277238
PO000061,20241015,2024-10-15,SUP0037,PRD0007,Fully Received,Approved,USD,FOB,Hamburg,1706.0,1706.0,1.0,791.25,1349872.5,3951.38,1.0,2024-12-26,2025-01-07,72.0,84.0,1.0,2026-06-24 00:14:59.277238
PO000062,20220622,2022-06-22,SUP0029,PRD0006,Fully Received,Approved,EUR,FOB,<Na>,934.0,934.0,1.0,2828.56,,6992.52,1.0637,2022-07-13,2022-08-01,21.0,40.0,1.0,2026-06-24 00:14:59.277238
PO000063,20240911,2024-09-11,SUP0001,PRD0005,Fully Received,Approved,USD,EXW,Port Of La,4422.0,4422.0,1.0,979.42,,16895.48,1.0,2024-11-27,2024-12-03,77.0,83.0,1.0,2026-06-24 00:14:59.277238
PO000064,,,SUP0028,PRD0028,Partially Received,Approved,JPY,FCA,Yokohama,2282.0,2009.0,0.8804,,2803322.9,3064.84,0.7545,2025-03-17,2025-03-22,,,1.0,2026-06-24 00:14:59.277238
PO000065,20231106,2023-11-06,SUP0009,PRD0004,Partially Received,Approved,USD,FCA,Santos,3693.0,2392.0,0.6477,643.27,2375596.11,,1.2047,2024-01-11,2024-01-19,66.0,74.0,1.0,2026-06-24 00:14:59.277238
PO000066,20240316,2024-03-16,SUP0037,PRD0034,Fully Received,Approved,BRL,DAP,Rotterdam,2348.0,2348.0,1.0,,3723411.44,8310.93,,2024-02-06,2024-06-23,-39.0,99.0,1.0,2026-06-24 00:14:59.277238
PO000067,20240510,2024-05-10,SUP0004,PRD0021,Fully Received,Approved,JPY,FCA,Yokohama,2266.0,2266.0,1.0,2834.95,6423996.7,13949.14,1.0,2024-06-28,2024-07-08,49.0,59.0,1.0,2026-06-24 00:14:59.277238
PO000068,20230421,2023-04-21,SUP0008,PRD0025,Fully Received,Approved,BRL,FOB,Yokohama,1710.0,1710.0,1.0,2584.83,,4950.9,1.2863,2023-06-07,2023-07-05,47.0,75.0,1.0,2026-06-24 00:14:59.277238
PO000069,20240901,2024-09-01,SUP0019,PRD0012,Open,Approved,USD,FCA,Rotterdam,4239.0,0.0,0.0,398.71,1690131.69,17698.15,1.0,2024-10-11,,40.0,,,2026-06-24 00:14:59.277238
PO000070,20220531,2022-05-31,SUP0034,PRD0022,Fully Received,Pending,BRL,FOB,Port Of Ny,302.0,302.0,1.0,2504.83,756458.66,2333.94,1.3161,2022-06-20,2022-06-30,20.0,30.0,1.0,2026-06-24 00:14:59.277238
PO000071,20240519,2024-05-19,SUP0006,PRD0039,Fully Received,Approved,NOK,EXW,Shanghai,3027.0,3027.0,1.0,778.55,2356670.85,12535.48,1.2877,,2024-06-16,,28.0,0.0,2026-06-24 00:14:59.277238
PO000072,20230901,2023-09-01,SUP0015,PRD0001,Fully Received,Approved,CAD,FCA,Santos,3984.0,3984.0,1.0,1783.2,7104268.8,28125.49,1.0,,2023-11-20,,80.0,0.0,2026-06-24 00:14:59.277238
PO000073,20240128,2024-01-28,SUP0014,PRD0005,Fully Received,Approved,EUR,EXW,Shanghai,503.0,503.0,1.0,1866.27,938733.81,728.26,1.2456,,2024-03-12,,44.0,0.0,2026-06-24 00:14:59.277238
PO000074,20230210,2023-02-10,SUP0004,PRD0015,Partially Received,Approved,CAD,CIF,Hamburg,2431.0,1976.0,0.8128,,1641143.79,13712.34,0.8591,2023-10-09,2023-10-13,241.0,245.0,1.0,2026-06-24 00:14:59.277238
PO000075,20240923,2024-09-23,SUP0026,PRD0026,Partially Received,Approved,CAD,DAP,Port Of La,1718.0,888.0,0.5169,1080.11,1855628.98,13707.78,1.2683,2024-10-19,2024-10-30,26.0,37.0,1.0,2026-06-24 00:14:59.277238
PO000076,20230213,2023-02-13,SUP0005,PRD0024,Fully Received,Approved,SEK,DAP,Port Of Ny,3757.0,,,997.95,3749298.15,13895.7,1.0,2023-03-10,2023-03-28,25.0,43.0,1.0,2026-06-24 00:14:59.277238
PO000077,,,SUP0005,PRD0025,Fully Received,Approved,SEK,CIF,Vancouver,4275.0,4275.0,1.0,2024.17,8653326.75,8077.07,1.1894,2024-07-07,2024-08-05,,,1.0,2026-06-24 00:14:59.277238
PO000078,20240824,2024-08-24,SUP0024,PRD0025,Fully Received,Rejected,EUR,EXW,Port Of La,2120.0,2120.0,1.0,768.6,1629432.0,8467.94,1.0,2024-09-09,2024-09-22,16.0,29.0,1.0,2026-06-24 00:14:59.277238
PO000079,,,SUP0014,PRD0005,Fully Received,Approved,BRL,CIF,Hamburg,1863.0,1863.0,1.0,542.71,1011068.73,13922.34,1.2902,2022-10-30,2022-11-15,,,1.0,2026-06-24 00:14:59.277238
PO000080,20221213,2022-12-13,SUP0012,PRD0021,Fully Received,Approved,,CIF,Port Of La,-3253.0,-3253.0,,2133.63,6940698.39,20860.88,1.0476,2022-12-20,2022-12-31,7.0,18.0,1.0,2026-06-24 00:14:59.277238
PO000081,20241124,2024-11-24,SUP0001,PRD0027,Open,Approved,,DAP,Hamburg,4831.0,0.0,0.0,2151.61,10394427.91,15472.23,1.0,2025-02-02,,70.0,,,2026-06-24 00:14:59.277238
PO000082,20240807,2024-08-07,SUP0032,PRD0003,Fully Received,Approved,EUR,CIF,Yokohama,660.0,660.0,1.0,165.59,109289.4,1902.11,1.0,2024-09-18,2024-10-03,42.0,57.0,1.0,2026-06-24 00:14:59.277238
PO000083,20240618,2024-06-18,SUP0023,PRD0027,Fully Received,Approved,EUR,CIF,Port Of Ny,1530.0,1530.0,1.0,1746.54,2672206.2,6712.19,1.0,2024-07-08,2024-07-04,20.0,16.0,0.0,2026-06-24 00:14:59.277238
PO000084,20220627,2022-06-27,SUP0015,PRD0009,Fully Received,Approved,,EXW,Hamburg,1017.0,1017.0,1.0,79.48,80831.16,1249.09,1.2228,2022-07-18,2022-08-08,21.0,42.0,1.0,2026-06-24 00:14:59.277238
PO000085,20230429,2023-04-29,SUP0011,PRD0024,Open,Approved,BRL,EXW,Hamburg,3735.0,1954.0,0.5232,2532.38,9458439.3,17114.25,0.9913,2023-05-13,2023-05-24,14.0,25.0,1.0,2026-06-24 00:14:59.277238
PO000086,20241105,2024-11-05,SUP0003,PRD0030,Fully Received,Approved,NOK,FOB,Shanghai,4011.0,4011.0,1.0,2586.04,10372606.44,30797.55,1.217,2025-09-01,2025-01-15,300.0,71.0,0.0,2026-06-24 00:14:59.277238
PO000087,20240717,2024-07-17,SUP0010,PRD0020,Fully Received,Approved,EUR,CIF,<Na>,3906.0,3906.0,1.0,,8028626.76,4136.85,1.2809,2024-08-21,2024-08-09,35.0,23.0,0.0,2026-06-24 00:14:59.277238
PO000088,20220326,2022-03-26,SUP0010,PRD0033,Fully Received,Approved,SEK,FOB,Santos,3342.0,3342.0,1.0,2125.41,7103120.22,14948.93,1.0,2022-06-15,2022-06-15,81.0,81.0,0.0,2026-06-24 00:14:59.277238
PO000090,20220609,2022-06-09,SUP0027,PRD0001,Cancelled,Approved,CAD,EXW,<Na>,2457.0,0.0,0.0,434.21,1066853.97,11218.05,0.8504,2022-09-20,,103.0,,,2026-06-24 00:14:59.277238
PO000091,20231121,2023-11-21,SUP0006,PRD0001,Fully Received,Approved,USD,CIF,<Na>,4234.0,4234.0,1.0,1069.56,4528517.04,12671.22,1.0521,2024-02-06,2024-02-04,77.0,75.0,0.0,2026-06-24 00:14:59.277238
PO000092,20230902,2023-09-02,SUP0030,PRD0036,Fully Received,Approved,NOK,FOB,Rotterdam,1343.0,1343.0,1.0,2848.98,3826180.14,8200.42,1.0008,2023-10-11,2023-10-13,39.0,41.0,1.0,2026-06-24 00:14:59.277238
PO000093,20231111,2023-11-11,SUP0022,PRD0011,Fully Received,Approved,SEK,DAP,Yokohama,1999.0,1999.0,1.0,1358.14,,9626.24,1.0,2023-12-20,2023-11-02,39.0,-9.0,0.0,2026-06-24 00:14:59.277238
PO000094,20241123,2024-11-23,SUP0040,PRD0007,Cancelled,Approved,CAD,FOB,Vancouver,4549.0,0.0,0.0,1152.31,5241858.19,28744.99,0.8283,2025-01-01,,39.0,,,2026-06-24 00:14:59.277238
PO000095,20221025,2022-10-25,SUP0012,PRD0007,Fully Received,Approved,NOK,CIF,Vancouver,122.0,122.0,1.0,1009.89,123206.58,516.85,1.2292,2022-11-29,2022-12-06,35.0,42.0,1.0,2026-06-24 00:14:59.277238
PO000096,20221111,2022-11-11,SUP0011,PRD0029,Cancelled,Approved,SEK,,Port Of La,4574.0,0.0,0.0,1667.4,7626687.6,31129.94,1.0,2023-01-05,,55.0,,,2026-06-24 00:14:59.277238
PO000097,20230121,2023-01-21,SUP0031,PRD0014,Cancelled,Approved,USD,CIF,<Na>,4687.0,0.0,0.0,1973.39,9249278.93,26649.71,1.278,2023-03-28,,66.0,,,2026-06-24 00:14:59.277238
PO000098,20230313,2023-03-13,SUP0007,PRD0008,Open,Approved,BRL,EXW,Port Of Ny,4065.0,0.0,0.0,1784.19,7252732.35,20865.5,1.0,2023-05-08,,56.0,,,2026-06-24 00:14:59.277238
PO000099,20221226,2022-12-26,SUP0033,PRD0030,On Hold,Approved,BRL,EXW,Santos,1598.0,0.0,0.0,859.68,1373768.64,10076.28,1.0242,2023-01-14,,19.0,,,2026-06-24 00:14:59.277238
PO000100,20240604,2024-06-04,SUP0002,PRD0022,Partially Received,Approved,SEK,FCA,Port Of Ny,2241.0,1759.0,0.7849,1565.62,3508554.42,17036.69,1.0,2024-05-15,2024-05-11,-20.0,-24.0,0.0,2026-06-24 00:14:59.277238
PO000102,20240222,2024-02-22,SUP0021,PRD0039,Fully Received,Approved,SEK,EXW,Port Of Ny,3827.0,3827.0,1.0,,6400198.26,14269.5,1.1343,2024-03-07,2024-03-19,14.0,26.0,1.0,2026-06-24 00:14:59.277238
PO000103,20240813,2024-08-13,SUP0027,PRD0010,Cancelled,Approved,JPY,FOB,<Na>,2043.0,0.0,0.0,1243.73,2540940.39,2724.3,1.0,2024-08-23,,10.0,,,2026-06-24 00:14:59.277238
PO000104,20220923,2022-09-23,SUP0024,PRD0003,Open,Approved,USD,DDP,Santos,3447.0,0.0,0.0,999.58,3445552.26,3411.1,1.0,2022-12-09,,77.0,,,2026-06-24 00:14:59.277238
PO000105,20220705,2022-07-05,SUP0021,PRD0018,Fully Received,Approved,EUR,FCA,Hamburg,4386.0,4386.0,1.0,114.06,500267.16,18725.71,0.9699,2022-08-11,2022-09-03,37.0,60.0,1.0,2026-06-24 00:14:59.277238
PO000106,20230617,2023-06-17,SUP0027,PRD0032,Open,Approved,CAD,CIF,Hamburg,251.0,0.0,0.0,254.77,63947.27,1589.05,1.0,2023-07-20,,33.0,,,2026-06-24 00:14:59.277238
PO000108,20220416,2022-04-16,SUP0032,PRD0036,Open,Approved,CAD,EXW,Shanghai,4500.0,0.0,0.0,,13146345.0,9940.09,1.0,2022-06-29,,74.0,,,2026-06-24 00:14:59.277238
PO000109,20221024,2022-10-24,SUP0040,PRD0016,Fully Received,Approved,BRL,EXW,Port Of La,4539.0,3153.0,0.6946,2480.32,11258172.48,27010.0,1.0,,2022-11-20,,27.0,0.0,2026-06-24 00:14:59.277238
PO000110,20240420,2024-04-20,SUP0016,PRD0033,Fully Received,Approved,USD,CIF,Rotterdam,2254.0,2254.0,1.0,1527.29,3442511.66,17821.73,1.0134,2024-07-09,2024-07-23,80.0,94.0,1.0,2026-06-24 00:14:59.277238
PO000111,20241113,2024-11-13,SUP0009,PRD0014,Cancelled,Approved,CAD,EXW,<Na>,4096.0,0.0,0.0,1891.99,7749591.04,17978.98,0.8047,2024-12-13,,30.0,,,2026-06-24 00:14:59.277238
PO000112,,,SUP0015,PRD0040,Partially Received,Approved,BRL,DDP,Yokohama,3591.0,910.0,0.2534,2715.39,9750965.49,2923.68,1.0,2022-05-19,2022-06-01,,,1.0,2026-06-24 00:14:59.277238
PO000115,20240817,2024-08-17,SUP0032,PRD0027,Fully Received,Approved,SEK,FCA,Port Of Ny,4572.0,4572.0,1.0,1874.53,8570351.16,23128.61,1.0,2024-10-21,2024-11-10,65.0,85.0,1.0,2026-06-24 00:14:59.277238
PO000116,20220123,2022-01-23,SUP0022,PRD0007,Fully Received,Approved,NOK,EXW,Shanghai,1884.0,1884.0,1.0,,4372161.12,,1.0,2022-04-02,2022-04-29,69.0,96.0,1.0,2026-06-24 00:14:59.277238
PO000117,20230514,2023-05-14,SUP0030,PRD0027,Partially Received,Approved,USD,FOB,Port Of La,4760.0,3173.0,0.6666,1560.94,7430074.4,13200.42,1.0,2023-05-31,2023-06-09,17.0,26.0,1.0,2026-06-24 00:14:59.277238
PO000118,20240226,2024-02-26,SUP0005,PRD0016,Open,Approved,CAD,FOB,Santos,4069.0,0.0,0.0,,1995966.57,28058.03,1.0,2024-05-22,,86.0,,,2026-06-24 00:14:59.277238
PO000119,20231127,2023-11-27,SUP0006,PRD0018,Fully Received,Approved,EUR,CIF,Port Of Ny,1286.0,1286.0,1.0,2302.95,2961593.7,7793.94,1.0,,2023-12-30,,33.0,0.0,2026-06-24 00:14:59.277238
PO000120,20240906,2024-09-06,SUP0001,PRD0004,Partially Received,Approved,NOK,FOB,Port Of Ny,577.0,387.0,0.6707,430.78,248560.06,1739.57,1.0,2024-11-02,2024-11-04,57.0,59.0,1.0,2026-06-24 00:14:59.277238
