OrderID,OrderDateKey,OrderDate,CustomerID,ProductID,Division,SalesChannel,SalesRepID,Status,OrderedQty,UnitPrice_USD,DiscountPct,discounted_unit_price,LineTotal_USD,calc_line_total_usd,NetAmount_USD,is_return,IsRush,RequestedDeliveryDate,_gold_built_at
SO0000011,20241225,2024-12-25,CUST00001,PRD0003,Central National,Broker,,Processing,409.0,387.12,4.9,368.1511,158332.08,150573.8,150573.8,False,False,2025-01-19,2026-06-24 00:14:59.277238
SO0000012,20230201,2023-02-01,CUST00066,PRD0021,North American Distribution,E-Commerce,REP011,Delivered,1463.0,1984.88,1.8,1949.1522,2903879.44,2851609.67,2851609.67,False,True,2023-02-19,2026-06-24 00:14:59.277238
SO0000013,20231019,2023-10-19,CUST00005,PRD0032,North American Distribution,E-Commerce,REP016,Delivered,834.0,1803.97,5.1,1711.9675,1504510.98,1427780.9,1427780.9,False,False,2023-11-17,2026-06-24 00:14:59.277238
SO0000014,20220331,2022-03-31,CUST00033,PRD0024,Central National,Direct Sales,REP019,Delivered,516.0,3080.46,0.5,3065.0577,1589517.36,1581569.77,1581569.77,False,False,2022-04-10,2026-06-24 00:14:59.277238
SO0000015,20230611,2023-06-11,CUST00060,PRD0009,Lindenmeyr Publications,Direct Sales,REP039,Delivered,1106.0,2141.91,17.5,1767.0757,2368952.46,1954385.72,1954385.72,False,False,2023-07-10,2026-06-24 00:14:59.277238
SO0000016,20240322,2024-03-22,CUST00010,PRD0008,Central National,Direct Sales,REP015,On Hold,817.0,21.1,15.8,17.7662,17238.7,14514.99,14514.99,False,False,2024-04-08,2026-06-24 00:14:59.277238
SO0000017,20240814,2024-08-14,CUST00055,PRD0033,<Na>,Inside Sales,REP037,Delivered,1389.0,345.34,18.9,280.0707,479677.26,389018.2,389018.2,False,False,2024-08-27,2026-06-24 00:14:59.277238
SO0000018,,,CUST00063,PRD0020,Lindenmeyr Publications,Inside Sales,REP017,Partially Shipped,1521.0,,16.9,,0.0,,,False,False,2024-02-09,2026-06-24 00:14:59.277238
SO0000019,20230131,2023-01-31,CUST00048,PRD0010,North American Distribution,Inside Sales,REP004,Confirmed,1465.0,,6.5,,28171.95,,,False,False,2023-02-28,2026-06-24 00:14:59.277238
SO0000020,20220410,2022-04-10,CUST00048,PRD0025,Lindenmeyr Publications,Broker,REP021,Delivered,-369.0,2419.73,15.0,2056.7705,892880.37,758948.31,-758948.31,True,False,2022-04-15,2026-06-24 00:14:59.277238
SO0000021,20240314,2024-03-14,CUST00058,PRD0014,Lindenmeyr Publications,Inside Sales,,Delivered,14.0,511.83,14.0,440.1738,7165.62,6162.43,6162.43,False,False,2024-04-10,2026-06-24 00:14:59.277238
SO0000022,20221124,2022-11-24,CUST00046,PRD0034,Lindenmeyr Publications,<Na>,REP033,Delivered,111.0,,12.2,,90798.0,,,False,True,,2026-06-24 00:14:59.277238
SO0000023,20220228,2022-02-28,CUST00050,PRD0039,Lindenmeyr Publications,Direct Sales,REP028,Delivered,450.0,1296.9,19.0,1050.489,583605.0,472720.05,472720.05,False,False,2022-03-22,2026-06-24 00:14:59.277238
SO0000024,,,CUST00018,PRD0029,North American Distribution,Inside Sales,REP023,Delivered,1354.0,2594.01,8.9,2363.1431,3512289.54,3199695.76,3199695.76,False,False,2025-01-13,2026-06-24 00:14:59.277238
SO0000025,20221106,2022-11-06,CUST00022,PRD0038,Lindenmeyr Publications,Broker,REP017,Delivered,162.0,1447.35,3.8,1392.3507,234470.7,225560.81,225560.81,False,False,2022-11-15,2026-06-24 00:14:59.277238
SO0000026,20231014,2023-10-14,CUST00037,PRD0011,Central National,Direct Sales,REP019,Delivered,1839.0,,16.0,,3083046.72,,,False,True,2023-10-24,2026-06-24 00:14:59.277238
SO0000027,20230419,2023-04-19,CUST00048,PRD0018,North American Distribution,Direct Sales,REP006,Delivered,1178.0,3078.62,2.8,2992.4186,3626614.36,3525069.11,3525069.11,False,True,2023-04-23,2026-06-24 00:14:59.277238
SO0000028,20241221,2024-12-21,CUST00061,PRD0036,North American Distribution,Inside Sales,REP008,Delivered,1704.0,2160.51,11.1,1920.6934,3681509.04,3272861.55,3272861.55,False,False,2025-09-01,2026-06-24 00:14:59.277238
SO0000029,20231228,2023-12-28,CUST00056,PRD0006,Lindenmeyr Publications,Inside Sales,REP034,Processing,464.0,248.81,4.0,238.8576,115447.84,110829.93,110829.93,False,False,,2026-06-24 00:14:59.277238
SO0000030,20240909,2024-09-09,CUST00018,PRD0023,North American Distribution,Broker,REP018,Delivered,1181.0,1843.22,17.5,1520.6565,2176842.82,1795895.33,1795895.33,False,False,,2026-06-24 00:14:59.277238
SO0000031,20220805,2022-08-05,CUST00005,PRD0004,North American Distribution,Broker,REP030,Confirmed,390.0,1453.01,14.0,1249.5886,,487339.55,487339.55,False,False,2022-05-29,2026-06-24 00:14:59.277238
SO0000032,20240404,2024-04-04,CUST00007,PRD0019,Lindenmeyr Publications,Agent,REP010,Delivered,457.0,1131.72,9.2,1027.6018,,469614.02,469614.02,False,False,2024-04-21,2026-06-24 00:14:59.277238
SO0000033,20240830,2024-08-30,CUST00028,PRD0020,Lindenmeyr Publications,Broker,REP028,On Hold,908.0,2537.83,19.4,2045.491,2304349.64,1857305.83,1857305.83,False,False,2024-09-20,2026-06-24 00:14:59.277238
SO0000034,20221105,2022-11-05,CUST_UNKNOWN,PRD0040,Central National,Inside Sales,REP010,Delivered,1685.0,244.24,3.6,235.4474,411544.4,396728.87,396728.87,False,True,2022-11-25,2026-06-24 00:14:59.277238
SO0000035,20240519,2024-05-19,CUST00014,PRD0006,Central National,Inside Sales,REP002,Shipped,1303.0,3101.35,13.0,2698.1745,4041059.05,3515721.37,3515721.37,False,True,2024-05-30,2026-06-24 00:14:59.277238
SO0000036,,,CUST00015,PRD0033,<Na>,Direct Sales,REP033,Cancelled,449.0,1075.29,17.2,890.3401,482805.21,399762.7,399762.7,False,True,2023-05-08,2026-06-24 00:14:59.277238
SO0000037,20220413,2022-04-13,CUST00067,PRD0035,North American Distribution,Inside Sales,REP012,Delivered,1451.0,2659.67,13.2,2308.5936,,3349769.31,3349769.31,False,False,,2026-06-24 00:14:59.277238
SO0000038,20240819,2024-08-19,CUST00055,PRD0012,North American Distribution,Inside Sales,REP040,Delivered,1747.0,2419.88,0.4,2410.2005,4227530.36,4210620.27,4210620.27,False,False,,2026-06-24 00:14:59.277238
SO0000039,20231004,2023-10-04,CUST00041,PRD0015,North American Distribution,Agent,REP021,Delivered,31.0,1120.91,3.5,1081.6782,34748.21,33532.02,33532.02,False,False,2023-10-11,2026-06-24 00:14:59.277238
SO0000040,20230521,2023-05-21,CUST00019,PRD0017,Lindenmeyr Publications,Inside Sales,REP008,Delivered,1846.0,366.95,4.5,350.4372,677389.7,646907.07,646907.07,False,False,2023-05-30,2026-06-24 00:14:59.277238
SO0000041,20220408,2022-04-08,CUST00010,PRD0007,Lindenmeyr Publications,Inside Sales,REP039,Shipped,1442.0,916.64,11.6,810.3098,1321794.88,1168466.73,1168466.73,False,False,2022-04-16,2026-06-24 00:14:59.277238
SO0000042,20241019,2024-10-19,CUST00068,PRD0021,Lindenmeyr Publications,Agent,REP013,Delivered,-1039.0,1183.03,18.1,968.9016,1229168.17,1006688.76,-1006688.76,True,False,2024-10-24,2026-06-24 00:14:59.277238
SO0000043,20230906,2023-09-06,CUST00034,PRD0011,Central National,Inside Sales,REP006,Processing,1934.0,1286.69,10.1,1156.7343,2488458.46,2237124.14,2237124.14,False,False,2023-09-13,2026-06-24 00:14:59.277238
SO0000044,,,CUST00050,PRD0011,North American Distribution,E-Commerce,REP003,Delivered,402.0,2817.03,17.7,2318.4157,,932003.11,932003.11,False,False,2023-05-20,2026-06-24 00:14:59.277238
SO0000045,20230903,2023-09-03,CUST00044,PRD0040,Lindenmeyr Publications,<Na>,REP032,Shipped,1509.0,1020.45,6.0,959.223,1539859.05,1447467.51,1447467.51,False,False,2023-09-08,2026-06-24 00:14:59.277238
SO0000046,20230804,2023-08-04,CUST00022,PRD0022,Lindenmeyr Publications,<Na>,REP012,Delivered,1814.0,507.24,18.1,415.4296,920133.36,753589.29,753589.29,False,False,2023-08-30,2026-06-24 00:14:59.277238
SO0000047,20220613,2022-06-13,CUST00043,PRD0007,Lindenmeyr Publications,Inside Sales,REP034,Partially Shipped,1901.0,,11.9,,126321.45,,,False,False,2022-06-22,2026-06-24 00:14:59.277238
SO0000048,20220527,2022-05-27,CUST00011,PRD0004,Lindenmeyr Publications,Broker,REP008,Shipped,1736.0,1150.82,2.6,1120.8987,1997823.52,1945880.14,1945880.14,False,True,2022-06-19,2026-06-24 00:14:59.277238
SO0000049,20241111,2024-11-11,CUST00039,PRD0003,<Na>,Direct Sales,REP004,Delivered,301.0,1915.05,0.2,1911.2199,576430.05,575277.19,575277.19,False,False,2024-12-09,2026-06-24 00:14:59.277238
SO0000050,20230129,2023-01-29,CUST00005,PRD0029,Central National,Broker,REP038,Delivered,1646.0,1369.55,8.8,1249.0296,2254279.3,2055902.72,2055902.72,False,False,2023-02-07,2026-06-24 00:14:59.277238
SO0000051,20230222,2023-02-22,CUST00010,PRD0026,North American Distribution,Agent,REP032,Shipped,347.0,2461.95,0.0,2461.95,854296.65,854296.65,854296.65,False,False,2023-06-03,2026-06-24 00:14:59.277238
SO0000052,20241201,2024-12-01,CUST00044,PRD0005,Central National,Direct Sales,REP027,Delivered,1238.0,1837.98,0.1,1836.142,2275419.24,2273143.8,2273143.8,False,False,,2026-06-24 00:14:59.277238
SO0000053,20230126,2023-01-26,CUST00037,PRD0009,Central National,Direct Sales,REP004,Processing,924.0,1132.9,0.0,1132.9,,1046799.6,1046799.6,False,False,,2026-06-24 00:14:59.277238
SO0000054,,,CUST00031,PRD0036,North American Distribution,Inside Sales,REP009,Delivered,922.0,1229.29,11.4,1089.1509,1133405.38,1004197.13,1004197.13,False,False,2024-02-27,2026-06-24 00:14:59.277238
SO0000055,20240204,2024-02-04,CUST00031,PRD0026,Central National,Inside Sales,REP023,Delivered,1988.0,2432.43,8.5,2225.6734,4835670.84,4424638.72,4424638.72,False,True,2024-02-27,2026-06-24 00:14:59.277238
SO0000056,20220818,2022-08-18,CUST00059,PRD0013,North American Distribution,Broker,REP032,Cancelled,555.0,1741.58,16.1,1461.1856,966576.9,810958.01,810958.01,False,False,2022-09-06,2026-06-24 00:14:59.277238
SO0000057,20241028,2024-10-28,CUST00002,PRD0027,Lindenmeyr Publications,Inside Sales,,Delivered,862.0,2832.52,12.5,2478.455,2441632.24,2136428.21,2136428.21,False,True,2024-10-31,2026-06-24 00:14:59.277238
SO0000058,20231110,2023-11-10,CUST00002,PRD0033,Central National,Inside Sales,,Processing,468.0,325.9,9.5,294.9395,152521.2,138031.69,138031.69,False,False,2023-12-07,2026-06-24 00:14:59.277238
SO0000059,20230109,2023-01-09,CUST00044,PRD0032,Central National,Agent,REP025,Delivered,1090.0,1694.71,4.0,1626.9216,,1773344.54,1773344.54,False,False,,2026-06-24 00:14:59.277238
SO0000060,20241002,2024-10-02,CUST00045,PRD0005,North American Distribution,E-Commerce,REP014,Delivered,1917.0,99.33,9.3,90.0923,,172706.94,172706.94,False,False,2024-09-20,2026-06-24 00:14:59.277238
SO0000061,20230701,2023-07-01,CUST00032,PRD0032,Central National,E-Commerce,REP022,Delivered,856.0,3040.54,16.7,2532.7698,2602702.24,2168050.95,2168050.95,False,True,2023-07-06,2026-06-24 00:14:59.277238
SO0000062,20220921,2022-09-21,CUST00063,PRD0033,Lindenmeyr Publications,Inside Sales,REP029,Cancelled,257.0,2534.64,14.0,2179.7904,651402.48,560206.13,560206.13,False,True,2022-10-01,2026-06-24 00:14:59.277238
SO0000063,20230313,2023-03-13,CUST00031,PRD0038,Central National,Direct Sales,,Delivered,161.0,2368.6,0.6,2354.3884,381344.6,379056.53,379056.53,False,True,2023-04-05,2026-06-24 00:14:59.277238
SO0000064,20240302,2024-03-02,CUST00012,PRD0006,North American Distribution,Inside Sales,REP006,Delivered,1879.0,203.54,15.3,172.3984,382451.66,323936.59,323936.59,False,False,2024-04-01,2026-06-24 00:14:59.277238
SO0000065,20221111,2022-11-11,CUST00036,PRD0029,Lindenmeyr Publications,E-Commerce,REP012,Delivered,325.0,1422.7,6.2,1334.4926,,433710.1,433710.1,False,False,2022-11-22,2026-06-24 00:14:59.277238
SO0000066,20220421,2022-04-21,CUST00040,PRD0026,Central National,Broker,REP023,Delivered,0.0,2255.79,2.9,2190.3721,0.0,0.0,0.0,False,True,2022-04-26,2026-06-24 00:14:59.277238
SO0000067,20230430,2023-04-30,CUST00060,PRD0006,Central National,Agent,REP003,Delivered,1249.0,1798.48,14.1,1544.8943,2246301.52,1929572.98,1929572.98,False,False,2023-05-05,2026-06-24 00:14:59.277238
SO0000068,20220923,2022-09-23,CUST00063,PRD0030,Central National,Broker,,Delivered,1713.0,820.74,15.9,690.2423,1405927.62,1182385.06,1182385.06,False,False,2022-09-30,2026-06-24 00:14:59.277238
SO0000069,20240605,2024-06-05,CUST00029,PRD0027,North American Distribution,<Na>,REP039,Shipped,1012.0,2400.15,19.0,1944.1215,2428951.8,1967450.96,1967450.96,False,False,2024-06-19,2026-06-24 00:14:59.277238
SO0000070,20240611,2024-06-11,CUST00023,PRD0010,North American Distribution,Broker,REP019,Confirmed,408.0,,6.0,,154929.84,,,False,False,2024-07-01,2026-06-24 00:14:59.277238
SO0000072,20240112,2024-01-12,CUST00041,PRD0040,North American Distribution,E-Commerce,REP004,Delivered,0.0,3070.46,10.8,2738.8503,0.0,0.0,0.0,False,False,2024-02-02,2026-06-24 00:14:59.277238
SO0000073,20220814,2022-08-14,CUST_UNKNOWN,PRD0030,Central National,Inside Sales,REP039,Shipped,1571.0,2283.76,1.9,2240.3686,3587786.96,3519619.07,3519619.07,False,True,2022-08-27,2026-06-24 00:14:59.277238
SO0000074,20220715,2022-07-15,CUST00060,PRD0023,North American Distribution,Agent,REP030,Delivered,1260.0,,11.6,,1576612.8,,,False,False,2022-07-23,2026-06-24 00:14:59.277238
SO0000075,20220505,2022-05-05,CUST00006,PRD0016,Central National,E-Commerce,REP037,Delivered,1017.0,496.39,19.1,401.5795,504828.63,408406.35,408406.35,False,False,,2026-06-24 00:14:59.277238
SO0000076,20220729,2022-07-29,CUST00014,PRD0029,Lindenmeyr Publications,E-Commerce,REP024,Processing,1862.0,780.26,9.5,706.1353,1452844.12,1314823.93,1314823.93,False,False,2022-08-06,2026-06-24 00:14:59.277238
SO0000077,20240901,2024-09-01,CUST00036,PRD0002,Central National,E-Commerce,REP017,Delivered,1185.0,3005.45,1.9,2948.3464,3561458.25,3493790.48,3493790.48,False,True,2024-09-07,2026-06-24 00:14:59.277238
SO0000078,20220520,2022-05-20,CUST00001,PRD0009,Lindenmeyr Publications,Inside Sales,REP006,Delivered,759.0,,13.0,,1197147.93,,,False,False,2022-12-06,2026-06-24 00:14:59.277238
SO0000079,20230515,2023-05-15,CUST00036,PRD0015,North American Distribution,Direct Sales,REP024,Shipped,94.0,2278.85,8.5,2085.1478,214211.9,196003.89,196003.89,False,False,2023-06-02,2026-06-24 00:14:59.277238
SO0000080,20230602,2023-06-02,CUST00042,PRD0037,Lindenmeyr Publications,Direct Sales,REP040,Delivered,1791.0,,5.6,,583794.36,,,False,False,2023-06-29,2026-06-24 00:14:59.277238
SO0000081,20221117,2022-11-17,CUST00050,PRD0021,Lindenmeyr Publications,Agent,REP011,Delivered,657.0,1670.47,13.3,1448.2975,1097498.79,951531.46,951531.46,False,False,2022-11-21,2026-06-24 00:14:59.277238
SO0000082,20220528,2022-05-28,CUST00006,PRD0022,Lindenmeyr Publications,Direct Sales,REP018,Delivered,-167.0,1664.4,1.9,1632.7764,277954.8,272673.66,-272673.66,True,False,2022-06-05,2026-06-24 00:14:59.277238
SO0000083,20240511,2024-05-11,CUST00033,PRD0006,Lindenmeyr Publications,E-Commerce,REP020,Delivered,611.0,1238.4,9.7,1118.2752,756662.4,683266.15,683266.15,False,False,2024-06-03,2026-06-24 00:14:59.277238
SO0000084,20230223,2023-02-23,CUST00007,PRD0013,Central National,Direct Sales,REP002,Processing,1648.0,1754.97,8.1,1612.8174,2892190.56,2657923.08,2657923.08,False,False,2023-03-06,2026-06-24 00:14:59.277238
SO0000085,20220228,2022-02-28,CUST00040,PRD0020,Central National,Broker,REP035,Delivered,0.0,1191.78,6.6,1113.1225,0.0,0.0,0.0,False,False,2022-03-09,2026-06-24 00:14:59.277238
SO0000086,20221112,2022-11-12,CUST00030,PRD0006,Lindenmeyr Publications,Agent,REP016,Processing,351.0,243.76,9.0,221.8216,85559.76,77859.38,77859.38,False,False,2022-11-17,2026-06-24 00:14:59.277238
SO0000087,20230320,2023-03-20,CUST00024,PRD0002,North American Distribution,Agent,REP013,Shipped,515.0,813.89,19.1,658.437,419153.35,339095.06,339095.06,False,False,2023-04-09,2026-06-24 00:14:59.277238
SO0000088,20240310,2024-03-10,CUST00011,PRD0035,Central National,<Na>,REP021,Delivered,1789.0,1980.45,0.0,1980.45,3543025.05,3543025.05,3543025.05,False,False,2024-04-07,2026-06-24 00:14:59.277238
SO0000089,20230416,2023-04-16,CUST00018,PRD0020,Central National,Inside Sales,REP040,Shipped,1280.0,2442.9,13.4,2115.5514,3126912.0,2707905.79,2707905.79,False,False,2023-05-07,2026-06-24 00:14:59.277238
SO0000090,20220104,2022-01-04,CUST00037,PRD0038,Lindenmeyr Publications,Direct Sales,REP031,On Hold,1438.0,2444.04,6.8,2277.8453,3514529.52,3275541.54,3275541.54,False,False,2022-01-29,2026-06-24 00:14:59.277238
SO0000091,20230528,2023-05-28,CUST00038,PRD0009,Lindenmeyr Publications,Direct Sales,REP010,Delivered,979.0,2440.36,2.1,2389.1124,2389112.44,2338941.04,2338941.04,False,False,,2026-06-24 00:14:59.277238
SO0000092,20240302,2024-03-02,CUST00038,PRD0021,Central National,Inside Sales,REP035,Delivered,1476.0,2433.11,15.3,2060.8442,3591270.36,3041806.04,3041806.04,False,False,2024-03-29,2026-06-24 00:14:59.277238
SO0000094,,,CUST00023,PRD0002,Central National,Direct Sales,REP033,Cancelled,1873.0,3062.11,11.5,2709.9674,5735332.03,5075768.94,5075768.94,False,False,2024-02-19,2026-06-24 00:14:59.277238
SO0000095,20230522,2023-05-22,CUST00013,PRD0010,Lindenmeyr Publications,E-Commerce,REP004,Partially Shipped,1297.0,0.0,11.6,0.0,0.0,0.0,0.0,False,True,2023-06-05,2026-06-24 00:14:59.277238
SO0000096,20230204,2023-02-04,CUST00048,PRD0032,North American Distribution,Inside Sales,,Delivered,236.0,2076.52,10.5,1858.4854,490058.72,438602.55,438602.55,False,True,,2026-06-24 00:14:59.277238
SO0000097,20230511,2023-05-11,CUST00041,PRD0027,Central National,Direct Sales,REP019,Delivered,-117.0,,2.5,,159468.66,,,True,True,2023-06-09,2026-06-24 00:14:59.277238
SO0000098,20230608,2023-06-08,CUST00029,PRD0014,Central National,Direct Sales,REP007,Delivered,1019.0,274.42,10.4,245.8803,279633.98,250552.03,250552.03,False,True,2023-06-22,2026-06-24 00:14:59.277238
SO0000099,20240621,2024-06-21,CUST_UNKNOWN,PRD0020,<Na>,Direct Sales,REP007,Delivered,1400.0,,13.0,,,,,False,False,2024-07-03,2026-06-24 00:14:59.277238
SO0000100,20241111,2024-11-11,CUST00040,PRD0008,Central National,Agent,REP008,Delivered,736.0,3119.61,1.6,3069.6962,2296032.96,2259296.4,2259296.4,False,True,2024-11-21,2026-06-24 00:14:59.277238
SO0000101,,,CUST00061,PRD0029,North American Distribution,Direct Sales,REP005,Delivered,69.0,233.04,15.5,196.9188,16079.76,13587.4,13587.4,False,True,2024-01-30,2026-06-24 00:14:59.277238
SO0000103,20220123,2022-01-23,CUST00051,PRD0016,North American Distribution,Broker,REP002,Delivered,605.0,1316.41,2.9,1278.2341,796428.05,773331.63,773331.63,False,False,,2026-06-24 00:14:59.277238
SO0000104,20240615,2024-06-15,CUST00010,PRD0026,Lindenmeyr Publications,E-Commerce,REP037,Delivered,859.0,,4.7,,0.0,,,False,False,2024-07-09,2026-06-24 00:14:59.277238
SO0000105,20230105,2023-01-05,CUST00016,PRD0034,Lindenmeyr Publications,Inside Sales,REP001,Delivered,1196.0,2966.31,6.1,2785.3651,3547706.76,3331296.66,3331296.66,False,False,2023-01-27,2026-06-24 00:14:59.277238
SO0000106,,,CUST00014,PRD0037,<Na>,Direct Sales,REP033,Delivered,1565.0,2260.76,13.0,1966.8612,3538089.4,3078137.78,3078137.78,False,False,2022-02-13,2026-06-24 00:14:59.277238
SO0000107,20241113,2024-11-13,CUST00003,PRD0022,Central National,Direct Sales,REP016,Delivered,1006.0,2056.75,0.7,2042.3528,2069090.5,2054606.92,2054606.92,False,False,2024-12-02,2026-06-24 00:14:59.277238
SO0000108,20221202,2022-12-02,CUST00069,PRD0017,Central National,Inside Sales,REP027,Shipped,1801.0,3153.54,14.7,2689.9696,5679525.54,4844635.25,4844635.25,False,True,2022-12-05,2026-06-24 00:14:59.277238
SO0000109,20230108,2023-01-08,CUST00015,PRD0011,Central National,Broker,REP003,Delivered,724.0,1984.13,16.3,1660.7168,,1202358.96,1202358.96,False,True,2022-12-31,2026-06-24 00:14:59.277238
SO0000111,20230719,2023-07-19,CUST00023,PRD0026,Lindenmeyr Publications,Agent,REP005,Delivered,849.0,3074.35,18.1,2517.8926,2610123.15,2137690.82,2137690.82,False,False,2023-07-27,2026-06-24 00:14:59.277238
SO0000112,20220331,2022-03-31,CUST00009,PRD0010,Lindenmeyr Publications,Direct Sales,REP018,Delivered,109.0,1744.05,7.0,1621.9665,190101.45,176794.35,176794.35,False,False,,2026-06-24 00:14:59.277238
SO0000113,20220617,2022-06-17,CUST00014,PRD0019,North American Distribution,Inside Sales,REP015,Confirmed,244.0,777.17,17.0,645.0511,189629.48,157392.47,157392.47,False,False,2022-07-17,2026-06-24 00:14:59.277238
SO0000114,20230716,2023-07-16,CUST00061,PRD0016,Central National,Agent,,Delivered,1500.0,802.25,13.2,696.353,1203375.0,1044529.5,1044529.5,False,False,2023-08-14,2026-06-24 00:14:59.277238
SO0000115,20220120,2022-01-20,CUST00065,PRD0017,Central National,Broker,REP011,Delivered,887.0,1524.65,0.0,1524.65,1352364.55,1352364.55,1352364.55,False,True,2022-02-05,2026-06-24 00:14:59.277238
SO0000116,20220104,2022-01-04,CUST00001,PRD0037,<Na>,Direct Sales,REP014,On Hold,1581.0,2335.21,0.0,2335.21,3691967.01,3691967.01,3691967.01,False,False,2022-01-17,2026-06-24 00:14:59.277238
SO0000117,20220808,2022-08-08,CUST00070,PRD0017,Central National,Broker,REP002,Shipped,850.0,972.37,18.9,788.5921,826514.5,670303.28,670303.28,False,False,2022-08-30,2026-06-24 00:14:59.277238
SO0000118,20220802,2022-08-02,CUST00007,PRD0036,Central National,Direct Sales,REP023,Cancelled,776.0,985.2,1.8,967.4664,764515.2,750753.93,750753.93,False,False,2022-09-01,2026-06-24 00:14:59.277238
SO0000119,20220701,2022-07-01,CUST00036,PRD0012,Lindenmeyr Publications,Agent,REP034,Delivered,112.0,2969.16,18.8,2410.9579,332545.92,270027.28,270027.28,False,True,2022-06-22,2026-06-24 00:14:59.277238
SO0000120,20230520,2023-05-20,CUST00051,PRD0007,Lindenmeyr Publications,Inside Sales,,Delivered,1934.0,2619.41,10.7,2339.1331,5065938.94,4523883.42,4523883.42,False,False,2023-06-04,2026-06-24 00:14:59.277238
SO0000121,20230330,2023-03-30,CUST00032,PRD0014,North American Distribution,Direct Sales,REP019,Delivered,282.0,2772.09,2.5,2702.7878,781729.38,762186.16,762186.16,False,False,2023-04-27,2026-06-24 00:14:59.277238
SO0000122,20221103,2022-11-03,CUST00006,PRD0019,North American Distribution,Inside Sales,REP039,Delivered,998.0,1029.68,0.0,1029.68,1027620.64,1027620.64,1027620.64,False,False,2022-12-02,2026-06-24 00:14:59.277238
SO0000123,20220209,2022-02-09,CUST00015,PRD0013,<Na>,Inside Sales,REP039,Delivered,601.0,3177.32,16.3,2659.4168,,1598309.5,1598309.5,False,False,2022-02-23,2026-06-24 00:14:59.277238
SO0000124,20240501,2024-05-01,CUST00043,PRD0003,North American Distribution,Direct Sales,REP026,Delivered,593.0,2074.74,13.3,1798.7996,1230320.82,1066688.16,1066688.16,False,True,2024-05-24,2026-06-24 00:14:59.277238
SO0000125,20220628,2022-06-28,CUST00031,PRD0018,Central National,E-Commerce,,Delivered,1733.0,1189.56,3.0,1153.8732,2061507.48,1999662.26,1999662.26,False,False,2022-07-05,2026-06-24 00:14:59.277238
SO0000126,20230815,2023-08-15,CUST00037,PRD0009,Central National,Broker,REP038,Delivered,1408.0,2142.11,9.5,1938.6096,,2729562.32,2729562.32,False,False,2023-08-24,2026-06-24 00:14:59.277238
SO0000127,20231010,2023-10-10,CUST00047,PRD0023,North American Distribution,<Na>,REP039,Delivered,457.0,1701.88,4.3,1628.6992,777759.16,744315.53,744315.53,False,False,2023-11-04,2026-06-24 00:14:59.277238
SO0000128,20240203,2024-02-03,CUST00057,PRD0006,Lindenmeyr Publications,Broker,REP012,Delivered,550.0,723.29,12.3,634.3253,397809.5,348878.92,348878.92,False,False,2024-02-17,2026-06-24 00:14:59.277238
