POID,SupplierID,ProductID,OrderedQty,ReceivedQty,UnitCost_USD,TotalCost_USD,Currency,ExchangeRate,OrderDate,ExpectedDeliveryDate,ActualDeliveryDate,Status,IncoTerms,PortOfLoading,FreightCost_USD,BuyerName,ApprovalStatus,Notes,_ingested_at,_source_file,_pipeline_run_id
PO000044,SUP0018,PRD0017,3298,3298.0,1042.13,3436944.74,BRL,,15 July 2024,2024-08-23,2024-09-11,Fully Received,FCA,Yokohama,19568.45,Priya Patel,Approved,,2026-06-24 00:13:41.399663,PurchaseOrders.csv,20260624_001341
PO000045,SUP0016,PRD0013,1260,0.0,2450.52,3087655.2,NOK,1.0,2023-10-04,2023-12-26,,Open,FOB,Santos,5027.47,,Approved,,2026-06-24 00:13:41.399663,PurchaseOrders.csv,20260624_001341
PO000046,SUP0029,PRD0039,0,0.0,211.03,0.0,JPY,1.0,2024-01-19,03-31-2024,2024-04-14,Partially Received,DDP,Yokohama,0.0,Anna Kowalski,Approved,,2026-06-24 00:13:41.399663,PurchaseOrders.csv,20260624_001341
PO000047,SUP0026,PRD0015,872,872.0,487.55,425143.6,USD,1.069,2023-02-08,2023-02-18,2023/03/01,Fully Received,FCA,Shanghai,2013.38,Robert Kleinman,Approved,Expedited shipping requested,2026-06-24 00:13:41.399663,PurchaseOrders.csv,20260624_001341
PO000048,SUP0021,PRD0007,238,0.0,493.4,117429.2,SEK,1.0,2023-07-23,2023-10-04,,Open,EXW,Port of LA,705.51,Priya Patel,Pending,,2026-06-24 00:13:41.399663,PurchaseOrders.csv,20260624_001341
PO000049,SUP0012,PRD0033,4569,4569.0,2847.37,13009633.53,NOK,,2022-01-18,2022-01-29,2022-01-25,Fully Received,FCA,Vancouver,24920.01,Robert Kleinman,approved,Price renegotiated Q4,2026-06-24 00:13:41.399663,PurchaseOrders.csv,20260624_001341
PO000050,SUP0012,PRD0019,2771,2771.0,1491.99,4134304.29,JPY,1.0,2023-01-12,2023-03-11,03/26/23,Fully Received,CIF,Vancouver,13277.58,Luca Ferretti,Approved,,2026-06-24 00:13:41.399663,PurchaseOrders.csv,20260624_001341
PO000051,SUP0010,PRD0032,4310,4310.0,655.59 USD,2825592.9,CAD,0.8147,2023-09-25,2023-10-30,2023-11-08,partially received,,Santos,9824.74,Anna Kowalski,Approved,,2026-06-24 00:13:41.399663,PurchaseOrders.csv,20260624_001341
PO000052,SUP0008,PRD0002,2685,2685.0,1623.17,4358211.45,NOK,1.0902,2024-01-17,2024-01-31,03/01/24, Fully Received,FCA,Shanghai,14787.07,James Chen,Approved,Price renegotiated Q4,2026-06-24 00:13:41.399663,PurchaseOrders.csv,20260624_001341
PO000053,SUP0040,PRD0040,3982,2951.0,2931.79,"$11,674,387.78",EUR,,2024-01-30,2024-04-18,17/04/2024,Partially Received,FOB,Shanghai,10534.58 USD,Priya Patel,Approved,,2026-06-24 00:13:41.399663,PurchaseOrders.csv,20260624_001341
PO000054,SUP0006,PRD0024,2873,,324.14,931254.22,NOK,0.7517,2024-02-02,2024-03-29,,Open,EXW,Port of LA,11002.81 USD,Robert Kleinman,Approved,,2026-06-24 00:13:41.399663,PurchaseOrders.csv,20260624_001341
PO000055,SUP0002,PRD0024,4074,2709.0,758.51,3090169.74,SEK,1.0,2022-05-05,2022-06-01,2022/06/16,Partially Received,DAP,Yokohama,21272.46,David Park,Approved,,2026-06-24 00:13:41.399663,PurchaseOrders.csv,20260624_001341
PO000056,SUP0015,PRD0016,3349,3349.0,128.18,429274.82,NOK,1.0276,2023-07-20,2023-09-15,2023-10-15,Fully Received,FCA,Santos,13235.17,James Chen,Approved,Price renegotiated Q4,2026-06-24 00:13:41.399663,PurchaseOrders.csv,20260624_001341
PO000057,SUP0026,PRD0015,1329,1329.0,1476.45,1962202.05,SEK,0.8825,03-11-2022,2022-03-25,04/09/22,Fully Received,FCA,Santos,883.98,Robert Kleinman,APPROVED,,2026-06-24 00:13:41.399663,PurchaseOrders.csv,20260624_001341
PO000058,SUP0009,PRD0013,4529,4529.0,1218.49,5518541.21 USD,SEK,1.0,15 July 2023,2023/08/04,30/08/2023,Fully Received,CIF,Shanghai,12407.54,Maria Santos,Approved,,2026-06-24 00:13:41.399663,PurchaseOrders.csv,20260624_001341
  PO000059 ,SUP0032,PRD0024,3762,3762.0,2374.98,8934674.76,SEK,1.0,01-Sep-2023,2023-09-17,2023-10-08,partially received,CIF,Yokohama,29491.36,Priya Patel,Approved,,2026-06-24 00:13:41.399663,PurchaseOrders.csv,20260624_001341
PO000060,SUP0036,PRD0012,3886,539.0,2900.97,11273169.42,JPY,1.0,2023-07-13,2023-10-10,2023-10-21,Partially Received,EXW,Shanghai,"$4,537.62",Luca Ferretti,Approved,,2026-06-24 00:13:41.399663,PurchaseOrders.csv,20260624_001341
PO000061,   SUP0037  ,PRD0007,1706,1706.0,791.25,1349872.5,USD,1.0,10/15/24,2024-12-26,01-07-2025,Fully Received,FOB ,Hamburg,3951.38,David Park,approved,Price renegotiated Q4,2026-06-24 00:13:41.399663,PurchaseOrders.csv,20260624_001341
 PO000062  ,SUP0029,PRD0006,934,934.0,2828.56,"$2,641,875.04",EUR,1.0637,2022-06-22,2022-07-13,2022/08/01,Fully Received,FOB ,,6992.52,Luca Ferretti,Approved,Quality hold pending lab results,2026-06-24 00:13:41.399663,PurchaseOrders.csv,20260624_001341
PO000063,SUP0001,PRD0005,4422,4422.0,979.42,4330995.24 USD,USD,1.0,2024-09-11,27 November 2024,2024-12-03,Fully Received,EXW,Port of LA,16895.48,Luca Ferretti,Approved,,2026-06-24 00:13:41.399663,PurchaseOrders.csv,20260624_001341
PO000064,SUP0028,PRD0028,2282,2009.0,"$1,228.45",2803322.9,JPY,0.7545,30/12/2024,2025-03-17,2025-03-22,Partially Received,FCA,Yokohama,3064.84,Anna Kowalski,Approved,,2026-06-24 00:13:41.399663,PurchaseOrders.csv,20260624_001341
PO000065,SUP0009,PRD0004,3693,2392.0,643.27,2375596.11,USD,1.2047,2023-11-06,2024-01-11,19 January 2024,Partially Received,FCA,Santos,18227.7 USD,Robert Kleinman,Approved,,2026-06-24 00:13:41.399663,PurchaseOrders.csv,20260624_001341
  PO000066 ,SUP0037,PRD0034,2348,2348.0,1585.78 USD,3723411.44,BRL,,2024-03-16,02/06/2024,2024-06-23,Fully Received,DAP,Rotterdam,8310.93,Luca Ferretti,Approved,,2026-06-24 00:13:41.399663,PurchaseOrders.csv,20260624_001341
PO000067,SUP0004,PRD0021,2266,2266.0,2834.95,6423996.7,JPY,1.0,2024-05-10,2024-06-28,08-Jul-2024,Fully Received,FCA,Yokohama,13949.14,Luca Ferretti,Approved,,2026-06-24 00:13:41.399663,PurchaseOrders.csv,20260624_001341
PO000068,SUP0008,PRD0025,1710,1710.0,2584.83,4420059.3 USD,BRL,1.2863,2023-04-21,2023-06-07,07-05-2023, Fully Received  ,FOB,Yokohama,4950.9,Robert Kleinman,Approved,Price renegotiated Q4,2026-06-24 00:13:41.399663,PurchaseOrders.csv,20260624_001341
PO000069,SUP0019,PRD0012,4239,0.0,398.71,1690131.69,USD,1.0,2024-09-01,2024-10-11,,Open,FCA,Rotterdam,17698.15,Luca Ferretti,Approved,,2026-06-24 00:13:41.399663,PurchaseOrders.csv,20260624_001341
PO000070,SUP0034,PRD0022,302,302.0,2504.83,756458.66,BRL,1.3161,2022-05-31,06-20-2022,2022-06-30,Fully Received,FOB ,Port of NY,2333.94,,PENDING,Quality hold pending lab results,2026-06-24 00:13:41.399663,PurchaseOrders.csv,20260624_001341
PO000071,SUP0006,PRD0039,3027,3027.0,778.55,2356670.85,NOK,1.2877,2024-05-19,2024/06/07,2024-06-16,Fully Received,EXW,Shanghai,12535.48,David Park,approved,,2026-06-24 00:13:41.399663,PurchaseOrders.csv,20260624_001341
PO000072,SUP0015,PRD0001,3984,3984.0,1783.2,7104268.8,CAD,1.0,2023-09-01,2023/11/10,11/20/23,Fully Received,FCA,Santos,28125.49,James Chen,APPROVED,,2026-06-24 00:13:41.399663,PurchaseOrders.csv,20260624_001341
PO000073,SUP0014,PRD0005,503,503.0,1866.27,938733.81,EUR,1.2456,28 January 2024,2024/02/14,2024-03-12,Fully Received,EXW,Shanghai,728.26,Priya Patel,Approved,,2026-06-24 00:13:41.399663,PurchaseOrders.csv,20260624_001341
PO000074,SUP0004,PRD0015,2431,1976.0,$675.09,1641143.79,CAD,0.8591,02/10/2023,2023-10-09,10-13-2023,Partially Received,CIF,Hamburg,13712.34,Priya Patel,Approved,Quality hold pending lab results,2026-06-24 00:13:41.399663,PurchaseOrders.csv,20260624_001341
PO000075,SUP0026,PRD0026,1718,888.0,1080.11,1855628.98,CAD,1.2683,2024-09-23,2024-10-19,2024-10-30,Partially Received,DAP,Port of LA,13707.78,Anna Kowalski,Approved,,2026-06-24 00:13:41.399663,PurchaseOrders.csv,20260624_001341
PO000076,SUP0005,PRD0024,3757,,997.95,3749298.15,SEK,1.0,2023-02-13,2023-03-10,2023-03-28,Fully Received,DAP,Port of NY,13895.7,James Chen,Approved,Expedited shipping requested,2026-06-24 00:13:41.399663,PurchaseOrders.csv,20260624_001341
PO000077,SUP0005,PRD0025,4275,4275.0,2024.17,8653326.75,SEK,1.1894,2024/04/11,2024-07-07,2024-08-05,Fully Received,cif,Vancouver,8077.07,Anna Kowalski,Approved,,2026-06-24 00:13:41.399663,PurchaseOrders.csv,20260624_001341
   PO000078,SUP0024,PRD0025,2120,2120.0,768.6,1629432.0,EUR,1.0,2024-08-24,2024-09-09,2024-09-22,Fully Received,EXW,Port of LA,8467.94,Maria Santos,REJECTED,,2026-06-24 00:13:41.399663,PurchaseOrders.csv,20260624_001341
PO000079,SUP0014,PRD0005,1863,1863.0,542.71,1011068.73,BRL,1.2902,16/10/2022,30 October 2022,2022/11/15,Fully Received,CIF,Hamburg,13922.34,Luca Ferretti,Approved,,2026-06-24 00:13:41.399663,PurchaseOrders.csv,20260624_001341
PO000080,SUP0012,PRD0021,-3253,-3253.0,2133.63,6940698.39,,1.0476,13 December 2022,2022-12-20,2022-12-31,Fully Received,CIF,Port of LA,20860.88,David Park,Approved,,2026-06-24 00:13:41.399663,PurchaseOrders.csv,20260624_001341
PO000081,SUP0001,PRD0027,4831,0.0,2151.61,10394427.91,,1.0,2024-11-24,02/02/25,,   Open  ,DAP,Hamburg,15472.23,James Chen,Approved,Expedited shipping requested,2026-06-24 00:13:41.399663,PurchaseOrders.csv,20260624_001341
PO000082,   SUP0032,PRD0003,660,660.0,165.59,109289.4,EUR,1.0,2024-08-07,2024-09-18,2024/10/03,Fully Received,cif,Yokohama,1902.11,Anna Kowalski,Approved,Price renegotiated Q4,2026-06-24 00:13:41.399663,PurchaseOrders.csv,20260624_001341
  PO000083  ,SUP0023,PRD0027,1530,1530.0,1746.54,2672206.2,EUR,1.0,2024-06-18,2024-07-08,04 July 2024,Fully Received,CIF,Port of NY,6712.19,Priya Patel,Approved,,2026-06-24 00:13:41.399663,PurchaseOrders.csv,20260624_001341
PO000084,SUP0015,PRD0009,1017,1017.0,79.48,80831.16,,1.2228,2022-06-27,2022-07-18,2022-08-08,Fully Received,EXW,Hamburg,1249.09,,Approved,,2026-06-24 00:13:41.399663,PurchaseOrders.csv,20260624_001341
PO000085,SUP0011,PRD0024,3735,1954.0,2532.38,9458439.3,BRL,0.9913,04-29-2023,2023-05-13,2023-05-24,open,EXW,Hamburg,17114.25,Maria Santos,Approved,TBD,2026-06-24 00:13:41.399663,PurchaseOrders.csv,20260624_001341
PO000086,SUP0003,PRD0030,4011,4011.0,2586.04,10372606.44,NOK,1.217,2024-11-05,09/01/2025,2025-01-15,Fully Received,FOB,Shanghai,30797.55,Maria Santos,Approved,,2026-06-24 00:13:41.399663,PurchaseOrders.csv,20260624_001341
PO000087,SUP0010,PRD0020,3906,3906.0,2055.46 USD,8028626.76,EUR,1.2809,2024-07-17,2024-08-21,08/09/2024,Fully Received,CIF,,4136.85,Robert Kleinman,Approved,Price renegotiated Q4,2026-06-24 00:13:41.399663,PurchaseOrders.csv,20260624_001341
PO000088,SUP0010,PRD0033,3342,3342.0,2125.41,7103120.22,SEK,1.0,2022-03-26,2022-06-15,2022-06-15,Fully Received,FOB,Santos,14948.93,Maria Santos,Approved,,2026-06-24 00:13:41.399663,PurchaseOrders.csv,20260624_001341
PO000089,SUP0034,,552,552.0,1068.24,589668.48,BRL,0.8914,10-17-2023,2023-11-24,23 November 2023,Fully Received,EXW,Yokohama,3634.78,Robert Kleinman,Approved,,2026-06-24 00:13:41.399663,PurchaseOrders.csv,20260624_001341
PO000090,SUP0027,PRD0001,2457,0.0,434.21,1066853.97,CAD,0.8504,06/09/2022,2022-09-20,,Cancelled,EXW,,11218.05,Luca Ferretti,Approved,Quality hold pending lab results,2026-06-24 00:13:41.399663,PurchaseOrders.csv,20260624_001341
PO000091,SUP0006,PRD0001,4234,4234.0,1069.56,4528517.04,USD,1.0521,2023-11-21,2024-02-06,2024-02-04,Fully Received,CIF,,12671.22,Luca Ferretti,Approved,Quality hold pending lab results,2026-06-24 00:13:41.399663,PurchaseOrders.csv,20260624_001341
PO000092,SUP0030,PRD0036,1343,1343.0,2848.98,3826180.14,NOK,1.0008,09/02/23,10-11-2023,2023-10-13,Fully Received,fob,Rotterdam,8200.42,Priya Patel,Approved,,2026-06-24 00:13:41.399663,PurchaseOrders.csv,20260624_001341
PO000093,SUP0022,PRD0011,1999,1999.0,1358.14,2714921.86 USD,SEK,1.0,2023-11-11,20 December 2023,2023-11-02,Fully Received,DAP,Yokohama,9626.24,James Chen,Approved,,2026-06-24 00:13:41.399663,PurchaseOrders.csv,20260624_001341
   PO000094,SUP0040,PRD0007,4549,0.0,1152.31,5241858.19,CAD,0.8283,2024-11-23,01-Jan-2025,,Cancelled,FOB ,Vancouver,28744.99,David Park,Approved,,2026-06-24 00:13:41.399663,PurchaseOrders.csv,20260624_001341
PO000095,SUP0012,PRD0007,122,122.0,1009.89,123206.58,NOK,1.2292,2022-10-25,29 November 2022,12/06/22,Fully Received,cif,Vancouver,516.85,Robert Kleinman,Approved,,2026-06-24 00:13:41.399663,PurchaseOrders.csv,20260624_001341
PO000096,SUP0011,PRD0029,4574,0.0,1667.4,7626687.6,SEK,1.0,2022-11-11,2023-01-05,,Cancelled,,Port of LA,31129.94,Robert Kleinman,APPROVED,,2026-06-24 00:13:41.399663,PurchaseOrders.csv,20260624_001341
PO000097,SUP0031,PRD0014,4687,0.0,1973.39,9249278.93,USD,1.278,2023-01-21,2023-03-28,,  Cancelled  ,cif,,26649.71,Priya Patel,Approved,,2026-06-24 00:13:41.399663,PurchaseOrders.csv,20260624_001341
PO000098,SUP0007,PRD0008,4065,0.0,1784.19,7252732.35,BRL,1.0,2023-03-13,2023-05-08,,  Open  ,EXW,Port of NY,20865.5,Maria Santos,Approved,,2026-06-24 00:13:41.399663,PurchaseOrders.csv,20260624_001341
PO000099,SUP0033,PRD0030,1598,0.0,859.68,1373768.64,BRL,1.0242,2022-12-26,2023-01-14,,On Hold,EXW,Santos,10076.28,Anna Kowalski,Approved,,2026-06-24 00:13:41.399663,PurchaseOrders.csv,20260624_001341
PO000100,SUP0002,PRD0022,2241,1759.0,1565.62,3508554.42,SEK,1.0,06/04/2024,2024-05-15,2024-05-11,Partially Received,FCA,Port of NY,17036.69,Anna Kowalski,Approved,,2026-06-24 00:13:41.399663,PurchaseOrders.csv,20260624_001341
PO000101,,PRD0017,2629,446.0,"$2,619.02",6885403.58,EUR,1.2154,2022-05-07,01 June 2022,10 June 2022,  Partially Received  ,DDP,Hamburg,19795.05,Maria Santos,Approved,,2026-06-24 00:13:41.399663,PurchaseOrders.csv,20260624_001341
PO000102,SUP0021,PRD0039,3827,3827.0,1672.38 USD,6400198.26,SEK,1.1343,22-Feb-2024,2024-03-07,2024-03-19,Fully Received,EXW,Port of NY,14269.5,Maria Santos,Approved,,2026-06-24 00:13:41.399663,PurchaseOrders.csv,20260624_001341
 PO000103  ,SUP0027,PRD0010,2043,0.0,1243.73,2540940.39,JPY,1.0,2024-08-13,2024-08-23,,Cancelled,FOB,,2724.3,Anna Kowalski,Approved,,2026-06-24 00:13:41.399663,PurchaseOrders.csv,20260624_001341
