OrderID,CustomerID,ProductID,Division,OrderedQty,UnitPrice_USD,LineTotal_USD,DiscountPct,OrderDate,RequestedDeliveryDate,Status,SalesChannel,SalesRepID,POReference,SpecialInstructions,IsRush,SourceSystem,_silver_transformed_at,is_return,discounted_unit_price,calc_line_total_usd
SO0000011,CUST00001,PRD0003,Central National,409.0,387.12,158332.08,4.9,2024-12-25,2025-01-19,Processing,Broker,,CUST-PO-10292,Fragile - handle with care,False,Web Portal,2026-06-24 00:14:16.766567,False,368.1511,150573.8
SO0000012,CUST00066,PRD0021,North American Distribution,1463.0,1984.88,2903879.44,1.8,2023-02-01,2023-02-19,Delivered,E-Commerce,REP011,CUST-PO-95144,,True,EDI,2026-06-24 00:14:16.766567,False,1949.1522,2851609.67
SO0000013,CUST00005,PRD0032,North American Distribution,834.0,1803.97,1504510.98,5.1,2023-10-19,2023-11-17,Delivered,E-Commerce,REP016,CUST-PO-69349,TBC,False,CRM,2026-06-24 00:14:16.766567,False,1711.9675,1427780.9
SO0000014,CUST00033,PRD0024,Central National,516.0,3080.46,1589517.36,0.5,2022-03-31,2022-04-10,Delivered,Direct Sales,REP019,CUST-PO-79605,TBC,False,CRM,2026-06-24 00:14:16.766567,False,3065.0577,1581569.77
SO0000015,CUST00060,PRD0009,Lindenmeyr Publications,1106.0,2141.91,2368952.46,17.5,2023-06-11,2023-07-10,Delivered,Direct Sales,REP039,,,False,EDI,2026-06-24 00:14:16.766567,False,1767.0757,1954385.72
SO0000016,CUST00010,PRD0008,Central National,817.0,21.1,17238.7,15.8,2024-03-22,2024-04-08,On Hold,Direct Sales,REP015,CUST-PO-76690,,False,EDI,2026-06-24 00:14:16.766567,False,17.7662,14514.99
SO0000017,CUST00055,PRD0033,<Na>,1389.0,345.34,479677.26,18.9,2024-08-14,2024-08-27,Delivered,Inside Sales,REP037,CUST-PO-78627,,False,SQL_Server_Sales,2026-06-24 00:14:16.766567,False,280.0707,389018.2
SO0000018,CUST00063,PRD0020,Lindenmeyr Publications,1521.0,,0.0,16.9,,2024-02-09,Partially Shipped,Inside Sales,REP017,CUST-PO-57374,Fragile - handle with care,False,EDI,2026-06-24 00:14:16.766567,False,,
SO0000019,CUST00048,PRD0010,North American Distribution,1465.0,,28171.95,6.5,2023-01-31,2023-02-28,Confirmed,Inside Sales,REP004,CUST-PO-54148,,False,EDI,2026-06-24 00:14:16.766567,False,,
SO0000020,CUST00048,PRD0025,Lindenmeyr Publications,-369.0,2419.73,892880.37,15.0,2022-04-10,2022-04-15,Delivered,Broker,REP021,CUST-PO-41230,TBC,False,,2026-06-24 00:14:16.766567,True,2056.7705,758948.31
SO0000021,CUST00058,PRD0014,Lindenmeyr Publications,14.0,511.83,7165.62,14.0,2024-03-14,2024-04-10,Delivered,Inside Sales,,CUST-PO-67108,,False,CRM,2026-06-24 00:14:16.766567,False,440.1738,6162.43
SO0000022,CUST00046,PRD0034,Lindenmeyr Publications,111.0,,90798.0,12.2,2022-11-24,,Delivered,<Na>,REP033,CUST-PO-70083,,True,SQL_Server_Sales,2026-06-24 00:14:16.766567,False,,
SO0000023,CUST00050,PRD0039,Lindenmeyr Publications,450.0,1296.9,583605.0,19.0,2022-02-28,2022-03-22,Delivered,Direct Sales,REP028,CUST-PO-18138,Deliver to dock B,False,,2026-06-24 00:14:16.766567,False,1050.489,472720.05
SO0000024,CUST00018,PRD0029,North American Distribution,1354.0,2594.01,3512289.54,8.9,,2025-01-13,Delivered,Inside Sales,REP023,CUST-PO-75160,TBC,False,EDI,2026-06-24 00:14:16.766567,False,2363.1431,3199695.76
SO0000025,CUST00022,PRD0038,Lindenmeyr Publications,162.0,1447.35,234470.7,3.8,2022-11-06,2022-11-15,Delivered,Broker,REP017,CUST-PO-24839,,False,CRM,2026-06-24 00:14:16.766567,False,1392.3507,225560.81
SO0000026,CUST00037,PRD0011,Central National,1839.0,,3083046.72,16.0,2023-10-14,2023-10-24,Delivered,Direct Sales,REP019,CUST-PO-79917,,True,Web Portal,2026-06-24 00:14:16.766567,False,,
SO0000027,CUST00048,PRD0018,North American Distribution,1178.0,3078.62,3626614.36,2.8,2023-04-19,2023-04-23,Delivered,Direct Sales,REP006,CUST-PO-54401,,True,EDI,2026-06-24 00:14:16.766567,False,2992.4186,3525069.11
SO0000028,CUST00061,PRD0036,North American Distribution,1704.0,2160.51,3681509.04,11.1,2024-12-21,2025-09-01,Delivered,Inside Sales,REP008,CUST-PO-75897,Requires lift gate,False,Web Portal,2026-06-24 00:14:16.766567,False,1920.6934,3272861.55
SO0000029,CUST00056,PRD0006,Lindenmeyr Publications,464.0,248.81,115447.84,4.0,2023-12-28,,Processing,Inside Sales,REP034,CUST-PO-76757,,False,SQL_Server_Sales,2026-06-24 00:14:16.766567,False,238.8576,110829.93
SO0000030,CUST00018,PRD0023,North American Distribution,1181.0,1843.22,2176842.82,17.5,2024-09-09,,Delivered,Broker,REP018,CUST-PO-93907,,False,EDI,2026-06-24 00:14:16.766567,False,1520.6565,1795895.33
SO0000031,CUST00005,PRD0004,North American Distribution,390.0,1453.01,,14.0,2022-08-05,2022-05-29,Confirmed,Broker,REP030,,,False,Web Portal,2026-06-24 00:14:16.766567,False,1249.5886,487339.55
SO0000032,CUST00007,PRD0019,Lindenmeyr Publications,457.0,1131.72,,9.2,2024-04-04,2024-04-21,Delivered,Agent,REP010,CUST-PO-86136,,False,SQL_Server_Sales,2026-06-24 00:14:16.766567,False,1027.6018,469614.02
SO0000033,CUST00028,PRD0020,Lindenmeyr Publications,908.0,2537.83,2304349.64,19.4,2024-08-30,2024-09-20,On Hold,Broker,REP028,CUST-PO-14076,Fragile - handle with care,False,Web Portal,2026-06-24 00:14:16.766567,False,2045.491,1857305.83
SO0000034,CUST99831,PRD0040,Central National,1685.0,244.24,411544.4,3.6,2022-11-05,2022-11-25,Delivered,Inside Sales,REP010,CUST-PO-38652,,True,SQL_Server_Sales,2026-06-24 00:14:16.766567,False,235.4474,396728.87
SO0000035,CUST00014,PRD0006,Central National,1303.0,3101.35,4041059.05,13.0,2024-05-19,2024-05-30,Shipped,Inside Sales,REP002,CUST-PO-70745,,True,Web Portal,2026-06-24 00:14:16.766567,False,2698.1745,3515721.37
SO0000036,CUST00015,PRD0033,<Na>,449.0,1075.29,482805.21,17.2,,2023-05-08,Cancelled,Direct Sales,REP033,CUST-PO-19901,,True,EDI,2026-06-24 00:14:16.766567,False,890.3401,399762.7
SO0000037,CUST00067,PRD0035,North American Distribution,1451.0,2659.67,,13.2,2022-04-13,,Delivered,Inside Sales,REP012,CUST-PO-28141,,False,Web Portal,2026-06-24 00:14:16.766567,False,2308.5936,3349769.31
SO0000038,CUST00055,PRD0012,North American Distribution,1747.0,2419.88,4227530.36,0.4,2024-08-19,,Delivered,Inside Sales,REP040,CUST-PO-31070,Fragile - handle with care,False,Web Portal,2026-06-24 00:14:16.766567,False,2410.2005,4210620.27
SO0000039,CUST00041,PRD0015,North American Distribution,31.0,1120.91,34748.21,3.5,2023-10-04,2023-10-11,Delivered,Agent,REP021,CUST-PO-98733,,False,SQL_Server_Sales,2026-06-24 00:14:16.766567,False,1081.6782,33532.02
SO0000040,CUST00019,PRD0017,Lindenmeyr Publications,1846.0,366.95,677389.7,4.5,2023-05-21,2023-05-30,Delivered,Inside Sales,REP008,CUST-PO-41923,,False,CRM,2026-06-24 00:14:16.766567,False,350.4372,646907.07
SO0000041,CUST00010,PRD0007,Lindenmeyr Publications,1442.0,916.64,1321794.88,11.6,2022-04-08,2022-04-16,Shipped,Inside Sales,REP039,CUST-PO-10975,Requires lift gate,False,CRM,2026-06-24 00:14:16.766567,False,810.3098,1168466.73
SO0000042,CUST00068,PRD0021,Lindenmeyr Publications,-1039.0,1183.03,1229168.17,18.1,2024-10-19,2024-10-24,Delivered,Agent,REP013,CUST-PO-28311,Fragile - handle with care,False,,2026-06-24 00:14:16.766567,True,968.9016,1006688.76
SO0000043,CUST00034,PRD0011,Central National,1934.0,1286.69,2488458.46,10.1,2023-09-06,2023-09-13,Processing,Inside Sales,REP006,CUST-PO-87816,Call before delivery,False,CRM,2026-06-24 00:14:16.766567,False,1156.7343,2237124.14
SO0000044,CUST00050,PRD0011,North American Distribution,402.0,2817.03,,17.7,,2023-05-20,Delivered,E-Commerce,REP003,CUST-PO-52780,,False,CRM,2026-06-24 00:14:16.766567,False,2318.4157,932003.11
SO0000045,CUST00044,PRD0040,Lindenmeyr Publications,1509.0,1020.45,1539859.05,6.0,2023-09-03,2023-09-08,Shipped,<Na>,REP032,CUST-PO-37697,Fragile - handle with care,False,SQL_Server_Sales,2026-06-24 00:14:16.766567,False,959.223,1447467.51
SO0000046,CUST00022,PRD0022,Lindenmeyr Publications,1814.0,507.24,920133.36,18.1,2023-08-04,2023-08-30,Delivered,<Na>,REP012,CUST-PO-63060,,False,SQL_Server_Sales,2026-06-24 00:14:16.766567,False,415.4296,753589.29
SO0000047,CUST00043,PRD0007,Lindenmeyr Publications,1901.0,,126321.45,11.9,2022-06-13,2022-06-22,Partially Shipped,Inside Sales,REP034,CUST-PO-76362,TBC,False,SQL_Server_Sales,2026-06-24 00:14:16.766567,False,,
SO0000048,CUST00011,PRD0004,Lindenmeyr Publications,1736.0,1150.82,1997823.52,2.6,2022-05-27,2022-06-19,Shipped,Broker,REP008,CUST-PO-13523,,True,SQL_Server_Sales,2026-06-24 00:14:16.766567,False,1120.8987,1945880.14
SO0000049,CUST00039,PRD0003,<Na>,301.0,1915.05,576430.05,0.2,2024-11-11,2024-12-09,Delivered,Direct Sales,REP004,CUST-PO-66078,,False,CRM,2026-06-24 00:14:16.766567,False,1911.2199,575277.19
SO0000050,CUST00005,PRD0029,Central National,1646.0,1369.55,2254279.3,8.8,2023-01-29,2023-02-07,Delivered,Broker,REP038,CUST-PO-48981,,False,Web Portal,2026-06-24 00:14:16.766567,False,1249.0296,2055902.72
SO0000051,CUST00010,PRD0026,North American Distribution,347.0,2461.95,854296.65,0.0,2023-02-22,2023-06-03,Shipped,Agent,REP032,CUST-PO-26902,TBC,False,CRM,2026-06-24 00:14:16.766567,False,2461.95,854296.65
SO0000052,CUST00044,PRD0005,Central National,1238.0,1837.98,2275419.24,0.1,2024-12-01,,Delivered,Direct Sales,REP027,CUST-PO-75616,,False,EDI,2026-06-24 00:14:16.766567,False,1836.142,2273143.8
SO0000053,CUST00037,PRD0009,Central National,924.0,1132.9,,0.0,2023-01-26,,Processing,Direct Sales,REP004,CUST-PO-49726,,False,CRM,2026-06-24 00:14:16.766567,False,1132.9,1046799.6
SO0000054,CUST00031,PRD0036,North American Distribution,922.0,1229.29,1133405.38,11.4,,2024-02-27,Delivered,Inside Sales,REP009,CUST-PO-29800,TBC,False,SQL_Server_Sales,2026-06-24 00:14:16.766567,False,1089.1509,1004197.13
SO0000055,CUST00031,PRD0026,Central National,1988.0,2432.43,4835670.84,8.5,2024-02-04,2024-02-27,Delivered,Inside Sales,REP023,CUST-PO-10643,,True,,2026-06-24 00:14:16.766567,False,2225.6734,4424638.72
SO0000056,CUST00059,PRD0013,North American Distribution,555.0,1741.58,966576.9,16.1,2022-08-18,2022-09-06,Cancelled,Broker,REP032,CUST-PO-50926,,False,SQL_Server_Sales,2026-06-24 00:14:16.766567,False,1461.1856,810958.01
SO0000057,CUST00002,PRD0027,Lindenmeyr Publications,862.0,2832.52,2441632.24,12.5,2024-10-28,2024-10-31,Delivered,Inside Sales,,CUST-PO-77953,,True,Web Portal,2026-06-24 00:14:16.766567,False,2478.455,2136428.21
SO0000058,CUST00002,PRD0033,Central National,468.0,325.9,152521.2,9.5,2023-11-10,2023-12-07,Processing,Inside Sales,,CUST-PO-69185,,False,EDI,2026-06-24 00:14:16.766567,False,294.9395,138031.69
SO0000059,CUST00044,PRD0032,Central National,1090.0,1694.71,,4.0,2023-01-09,,Delivered,Agent,REP025,CUST-PO-90134,,False,Web Portal,2026-06-24 00:14:16.766567,False,1626.9216,1773344.54
SO0000060,CUST00045,PRD0005,North American Distribution,1917.0,99.33,,9.3,2024-10-02,2024-09-20,Delivered,E-Commerce,REP014,,Deliver to dock B,False,EDI,2026-06-24 00:14:16.766567,False,90.0923,172706.94
SO0000061,CUST00032,PRD0032,Central National,856.0,3040.54,2602702.24,16.7,2023-07-01,2023-07-06,Delivered,E-Commerce,REP022,CUST-PO-13861,,True,Web Portal,2026-06-24 00:14:16.766567,False,2532.7698,2168050.95
SO0000062,CUST00063,PRD0033,Lindenmeyr Publications,257.0,2534.64,651402.48,14.0,2022-09-21,2022-10-01,Cancelled,Inside Sales,REP029,CUST-PO-91077,,True,CRM,2026-06-24 00:14:16.766567,False,2179.7904,560206.13
SO0000063,CUST00031,PRD0038,Central National,161.0,2368.6,381344.6,0.6,2023-03-13,2023-04-05,Delivered,Direct Sales,,CUST-PO-48579,Fragile - handle with care,True,EDI,2026-06-24 00:14:16.766567,False,2354.3884,379056.53
SO0000064,CUST00012,PRD0006,North American Distribution,1879.0,203.54,382451.66,15.3,2024-03-02,2024-04-01,Delivered,Inside Sales,REP006,CUST-PO-86783,,False,Web Portal,2026-06-24 00:14:16.766567,False,172.3984,323936.59
SO0000065,CUST00036,PRD0029,Lindenmeyr Publications,325.0,1422.7,,6.2,2022-11-11,2022-11-22,Delivered,E-Commerce,REP012,CUST-PO-17891,,False,SQL_Server_Sales,2026-06-24 00:14:16.766567,False,1334.4926,433710.1
SO0000066,CUST00040,PRD0026,Central National,0.0,2255.79,0.0,2.9,2022-04-21,2022-04-26,Delivered,Broker,REP023,CUST-PO-75821,Call before delivery,True,Web Portal,2026-06-24 00:14:16.766567,False,2190.3721,0.0
SO0000067,CUST00060,PRD0006,Central National,1249.0,1798.48,2246301.52,14.1,2023-04-30,2023-05-05,Delivered,Agent,REP003,CUST-PO-21180,,False,SQL_Server_Sales,2026-06-24 00:14:16.766567,False,1544.8943,1929572.98
SO0000068,CUST00063,PRD0030,Central National,1713.0,820.74,1405927.62,15.9,2022-09-23,2022-09-30,Delivered,Broker,,CUST-PO-36809,Call before delivery,False,CRM,2026-06-24 00:14:16.766567,False,690.2423,1182385.06
SO0000069,CUST00029,PRD0027,North American Distribution,1012.0,2400.15,2428951.8,19.0,2024-06-05,2024-06-19,Shipped,<Na>,REP039,CUST-PO-13171,Fragile - handle with care,False,EDI,2026-06-24 00:14:16.766567,False,1944.1215,1967450.96
SO0000070,CUST00023,PRD0010,North American Distribution,408.0,,154929.84,6.0,2024-06-11,2024-07-01,Confirmed,Broker,REP019,CUST-PO-99062,,False,CRM,2026-06-24 00:14:16.766567,False,,
SO0000072,CUST00041,PRD0040,North American Distribution,0.0,3070.46,0.0,10.8,2024-01-12,2024-02-02,Delivered,E-Commerce,REP004,CUST-PO-35811,Call before delivery,False,CRM,2026-06-24 00:14:16.766567,False,2738.8503,0.0
SO0000073,CUST99813,PRD0030,Central National,1571.0,2283.76,3587786.96,1.9,2022-08-14,2022-08-27,Shipped,Inside Sales,REP039,CUST-PO-91312,Deliver to dock B,True,CRM,2026-06-24 00:14:16.766567,False,2240.3686,3519619.07
SO0000074,CUST00060,PRD0023,North American Distribution,1260.0,,1576612.8,11.6,2022-07-15,2022-07-23,Delivered,Agent,REP030,CUST-PO-40855,Requires lift gate,False,Web Portal,2026-06-24 00:14:16.766567,False,,
SO0000075,CUST00006,PRD0016,Central National,1017.0,496.39,504828.63,19.1,2022-05-05,,Delivered,E-Commerce,REP037,CUST-PO-70096,Requires lift gate,False,,2026-06-24 00:14:16.766567,False,401.5795,408406.35
SO0000076,CUST00014,PRD0029,Lindenmeyr Publications,1862.0,780.26,1452844.12,9.5,2022-07-29,2022-08-06,Processing,E-Commerce,REP024,CUST-PO-90546,,False,CRM,2026-06-24 00:14:16.766567,False,706.1353,1314823.93
SO0000077,CUST00036,PRD0002,Central National,1185.0,3005.45,3561458.25,1.9,2024-09-01,2024-09-07,Delivered,E-Commerce,REP017,CUST-PO-96133,,True,Web Portal,2026-06-24 00:14:16.766567,False,2948.3464,3493790.48
SO0000078,CUST00001,PRD0009,Lindenmeyr Publications,759.0,,1197147.93,13.0,2022-05-20,2022-12-06,Delivered,Inside Sales,REP006,CUST-PO-55731,Deliver to dock B,False,Web Portal,2026-06-24 00:14:16.766567,False,,
SO0000079,CUST00036,PRD0015,North American Distribution,94.0,2278.85,214211.9,8.5,2023-05-15,2023-06-02,Shipped,Direct Sales,REP024,CUST-PO-51245,,False,EDI,2026-06-24 00:14:16.766567,False,2085.1478,196003.89
SO0000080,CUST00042,PRD0037,Lindenmeyr Publications,1791.0,,583794.36,5.6,2023-06-02,2023-06-29,Delivered,Direct Sales,REP040,,Fragile - handle with care,False,SQL_Server_Sales,2026-06-24 00:14:16.766567,False,,
SO0000081,CUST00050,PRD0021,Lindenmeyr Publications,657.0,1670.47,1097498.79,13.3,2022-11-17,2022-11-21,Delivered,Agent,REP011,CUST-PO-80397,,False,EDI,2026-06-24 00:14:16.766567,False,1448.2975,951531.46
SO0000082,CUST00006,PRD0022,Lindenmeyr Publications,-167.0,1664.4,277954.8,1.9,2022-05-28,2022-06-05,Delivered,Direct Sales,REP018,CUST-PO-48802,,False,CRM,2026-06-24 00:14:16.766567,True,1632.7764,272673.66
SO0000083,CUST00033,PRD0006,Lindenmeyr Publications,611.0,1238.4,756662.4,9.7,2024-05-11,2024-06-03,Delivered,E-Commerce,REP020,CUST-PO-36357,,False,CRM,2026-06-24 00:14:16.766567,False,1118.2752,683266.15
SO0000084,CUST00007,PRD0013,Central National,1648.0,1754.97,2892190.56,8.1,2023-02-23,2023-03-06,Processing,Direct Sales,REP002,CUST-PO-51159,,False,SQL_Server_Sales,2026-06-24 00:14:16.766567,False,1612.8174,2657923.08
SO0000085,CUST00040,PRD0020,Central National,0.0,1191.78,0.0,6.6,2022-02-28,2022-03-09,Delivered,Broker,REP035,CUST-PO-75605,,False,Web Portal,2026-06-24 00:14:16.766567,False,1113.1225,0.0
SO0000086,CUST00030,PRD0006,Lindenmeyr Publications,351.0,243.76,85559.76,9.0,2022-11-12,2022-11-17,Processing,Agent,REP016,CUST-PO-92619,,False,EDI,2026-06-24 00:14:16.766567,False,221.8216,77859.38
SO0000087,CUST00024,PRD0002,North American Distribution,515.0,813.89,419153.35,19.1,2023-03-20,2023-04-09,Shipped,Agent,REP013,CUST-PO-99735,,False,CRM,2026-06-24 00:14:16.766567,False,658.437,339095.06
SO0000088,CUST00011,PRD0035,Central National,1789.0,1980.45,3543025.05,0.0,2024-03-10,2024-04-07,Delivered,<Na>,REP021,CUST-PO-60726,TBC,False,,2026-06-24 00:14:16.766567,False,1980.45,3543025.05
SO0000089,CUST00018,PRD0020,Central National,1280.0,2442.9,3126912.0,13.4,2023-04-16,2023-05-07,Shipped,Inside Sales,REP040,CUST-PO-37239,Deliver to dock B,False,CRM,2026-06-24 00:14:16.766567,False,2115.5514,2707905.79
SO0000090,CUST00037,PRD0038,Lindenmeyr Publications,1438.0,2444.04,3514529.52,6.8,2022-01-04,2022-01-29,On Hold,Direct Sales,REP031,,,False,EDI,2026-06-24 00:14:16.766567,False,2277.8453,3275541.54
SO0000091,CUST00038,PRD0009,Lindenmeyr Publications,979.0,2440.36,2389112.44,2.1,2023-05-28,,Delivered,Direct Sales,REP010,,Fragile - handle with care,False,SQL_Server_Sales,2026-06-24 00:14:16.766567,False,2389.1124,2338941.04
SO0000092,CUST00038,PRD0021,Central National,1476.0,2433.11,3591270.36,15.3,2024-03-02,2024-03-29,Delivered,Inside Sales,REP035,CUST-PO-59182,TBC,False,CRM,2026-06-24 00:14:16.766567,False,2060.8442,3041806.04
SO0000094,CUST00023,PRD0002,Central National,1873.0,3062.11,5735332.03,11.5,,2024-02-19,Cancelled,Direct Sales,REP033,CUST-PO-67103,,False,EDI,2026-06-24 00:14:16.766567,False,2709.9674,5075768.94
SO0000095,CUST00013,PRD0010,Lindenmeyr Publications,1297.0,0.0,0.0,11.6,2023-05-22,2023-06-05,Partially Shipped,E-Commerce,REP004,CUST-PO-43253,Requires lift gate,True,SQL_Server_Sales,2026-06-24 00:14:16.766567,False,0.0,0.0
SO0000096,CUST00048,PRD0032,North American Distribution,236.0,2076.52,490058.72,10.5,2023-02-04,,Delivered,Inside Sales,,CUST-PO-39461,,True,Web Portal,2026-06-24 00:14:16.766567,False,1858.4854,438602.55
SO0000097,CUST00041,PRD0027,Central National,-117.0,,159468.66,2.5,2023-05-11,2023-06-09,Delivered,Direct Sales,REP019,CUST-PO-20198,,True,Web Portal,2026-06-24 00:14:16.766567,True,,
SO0000098,CUST00029,PRD0014,Central National,1019.0,274.42,279633.98,10.4,2023-06-08,2023-06-22,Delivered,Direct Sales,REP007,CUST-PO-90380,Call before delivery,True,EDI,2026-06-24 00:14:16.766567,False,245.8803,250552.03
SO0000099,CUST99688,PRD0020,<Na>,1400.0,,,13.0,2024-06-21,2024-07-03,Delivered,Direct Sales,REP007,CUST-PO-21210,TBC,False,CRM,2026-06-24 00:14:16.766567,False,,
SO0000100,CUST00040,PRD0008,Central National,736.0,3119.61,2296032.96,1.6,2024-11-11,2024-11-21,Delivered,Agent,REP008,CUST-PO-76071,,True,SQL_Server_Sales,2026-06-24 00:14:16.766567,False,3069.6962,2259296.4
SO0000101,CUST00061,PRD0029,North American Distribution,69.0,233.04,16079.76,15.5,,2024-01-30,Delivered,Direct Sales,REP005,CUST-PO-79817,Fragile - handle with care,True,CRM,2026-06-24 00:14:16.766567,False,196.9188,13587.4
SO0000103,CUST00051,PRD0016,North American Distribution,605.0,1316.41,796428.05,2.9,2022-01-23,,Delivered,Broker,REP002,CUST-PO-66887,,False,CRM,2026-06-24 00:14:16.766567,False,1278.2341,773331.63
SO0000104,CUST00010,PRD0026,Lindenmeyr Publications,859.0,,0.0,4.7,2024-06-15,2024-07-09,Delivered,E-Commerce,REP037,CUST-PO-62789,,False,CRM,2026-06-24 00:14:16.766567,False,,
SO0000105,CUST00016,PRD0034,Lindenmeyr Publications,1196.0,2966.31,3547706.76,6.1,2023-01-05,2023-01-27,Delivered,Inside Sales,REP001,CUST-PO-91840,Deliver to dock B,False,Web Portal,2026-06-24 00:14:16.766567,False,2785.3651,3331296.66
SO0000106,CUST00014,PRD0037,<Na>,1565.0,2260.76,3538089.4,13.0,,2022-02-13,Delivered,Direct Sales,REP033,CUST-PO-28207,,False,SQL_Server_Sales,2026-06-24 00:14:16.766567,False,1966.8612,3078137.78
SO0000107,CUST00003,PRD0022,Central National,1006.0,2056.75,2069090.5,0.7,2024-11-13,2024-12-02,Delivered,Direct Sales,REP016,CUST-PO-53963,,False,,2026-06-24 00:14:16.766567,False,2042.3528,2054606.92
SO0000108,CUST00069,PRD0017,Central National,1801.0,3153.54,5679525.54,14.7,2022-12-02,2022-12-05,Shipped,Inside Sales,REP027,CUST-PO-57337,TBC,True,Web Portal,2026-06-24 00:14:16.766567,False,2689.9696,4844635.25
SO0000109,CUST00015,PRD0011,Central National,724.0,1984.13,,16.3,2023-01-08,2022-12-31,Delivered,Broker,REP003,CUST-PO-53354,,True,CRM,2026-06-24 00:14:16.766567,False,1660.7168,1202358.96
SO0000111,CUST00023,PRD0026,Lindenmeyr Publications,849.0,3074.35,2610123.15,18.1,2023-07-19,2023-07-27,Delivered,Agent,REP005,CUST-PO-31694,,False,SQL_Server_Sales,2026-06-24 00:14:16.766567,False,2517.8926,2137690.82
SO0000112,CUST00009,PRD0010,Lindenmeyr Publications,109.0,1744.05,190101.45,7.0,2022-03-31,,Delivered,Direct Sales,REP018,CUST-PO-74732,,False,Web Portal,2026-06-24 00:14:16.766567,False,1621.9665,176794.35
SO0000113,CUST00014,PRD0019,North American Distribution,244.0,777.17,189629.48,17.0,2022-06-17,2022-07-17,Confirmed,Inside Sales,REP015,CUST-PO-49987,,False,EDI,2026-06-24 00:14:16.766567,False,645.0511,157392.47
SO0000114,CUST00061,PRD0016,Central National,1500.0,802.25,1203375.0,13.2,2023-07-16,2023-08-14,Delivered,Agent,,CUST-PO-82794,TBC,False,Web Portal,2026-06-24 00:14:16.766567,False,696.353,1044529.5
SO0000115,CUST00065,PRD0017,Central National,887.0,1524.65,1352364.55,0.0,2022-01-20,2022-02-05,Delivered,Broker,REP011,CUST-PO-17841,,True,EDI,2026-06-24 00:14:16.766567,False,1524.65,1352364.55
SO0000116,CUST00001,PRD0037,<Na>,1581.0,2335.21,3691967.01,0.0,2022-01-04,2022-01-17,On Hold,Direct Sales,REP014,CUST-PO-64408,,False,SQL_Server_Sales,2026-06-24 00:14:16.766567,False,2335.21,3691967.01
SO0000117,CUST00070,PRD0017,Central National,850.0,972.37,826514.5,18.9,2022-08-08,2022-08-30,Shipped,Broker,REP002,CUST-PO-77120,,False,,2026-06-24 00:14:16.766567,False,788.5921,670303.28
SO0000118,CUST00007,PRD0036,Central National,776.0,985.2,764515.2,1.8,2022-08-02,2022-09-01,Cancelled,Direct Sales,REP023,CUST-PO-70521,Requires lift gate,False,CRM,2026-06-24 00:14:16.766567,False,967.4664,750753.93
