POID,SupplierID,ProductID,OrderedQty,ReceivedQty,UnitCost_USD,TotalCost_USD,Currency,ExchangeRate,OrderDate,ExpectedDeliveryDate,ActualDeliveryDate,Status,IncoTerms,PortOfLoading,FreightCost_USD,BuyerName,ApprovalStatus,Notes,_silver_transformed_at,actual_lead_time_days,expected_lead_time_days,is_late_delivery,receipt_rate
PO000015,SUP0027,PRD0011,496.0,123.0,2524.99,1252395.04,EUR,1.0988,2024-12-25,2025-02-18,2025-02-15,Partially Received,EXW,Vancouver,3204.68,Robert Kleinman,Pending,,2026-06-24 00:14:16.766567,52.0,55.0,0.0,0.248
PO000016,SUP0025,PRD0001,223.0,0.0,2634.06,587395.38,JPY,1.0,2024-04-22,2024-06-09,,Open,DAP,<Na>,1344.99,,Approved,,2026-06-24 00:14:16.766567,,48.0,,0.0
PO000017,SUP0008,PRD0007,634.0,634.0,2192.34,1389943.56,JPY,1.0,2023-02-03,2023-04-04,2023-04-22,Fully Received,FOB,Vancouver,2549.09,David Park,Approved,,2026-06-24 00:14:16.766567,78.0,60.0,1.0,1.0
PO000018,SUP0004,PRD0029,1533.0,0.0,1234.32,1892212.56,SEK,1.0,2022-08-06,2022-10-21,,Open,EXW,Rotterdam,7826.55,,Approved,,2026-06-24 00:14:16.766567,,76.0,,0.0
PO000019,SUP0016,PRD0026,4369.0,4369.0,2290.7,10008068.3,BRL,1.0,2022-05-20,2022-05-27,2022-05-23,Fully Received,FOB,Yokohama,15126.76,Maria Santos,Approved,,2026-06-24 00:14:16.766567,3.0,7.0,0.0,1.0
PO000020,SUP0039,PRD0015,3101.0,3101.0,679.66,2107625.66,SEK,1.0771,2022-01-18,,2022-03-03,Fully Received,FCA,Shanghai,5274.53,Priya Patel,Pending,,2026-06-24 00:14:16.766567,44.0,,0.0,1.0
PO000021,SUP0031,PRD0015,272.0,272.0,462.09,125688.48,EUR,1.0,2023-07-27,2023-08-23,2023-08-20,Fully Received,FOB,Vancouver,1958.38,Anna Kowalski,Approved,,2026-06-24 00:14:16.766567,24.0,27.0,0.0,1.0
PO000023,SUP0021,PRD0038,2683.0,0.0,488.2,1309840.6,CAD,1.255,2023-01-29,2023-02-12,,Cancelled,DDP,Shanghai,,Anna Kowalski,Approved,,2026-06-24 00:14:16.766567,,14.0,,0.0
PO000024,SUP0006,PRD0033,1153.0,1153.0,2266.07,2612778.71,USD,1.0,2022-10-27,2022-12-02,2022-12-04,Fully Received,FOB,Vancouver,8899.25,Priya Patel,Approved,,2026-06-24 00:14:16.766567,38.0,36.0,1.0,1.0
PO000025,SUP0039,PRD0020,2082.0,2082.0,1575.66,3280524.12,CAD,1.3195,2024-02-20,2024-04-17,2024-04-17,Fully Received,EXW,Santos,11151.94,Robert Kleinman,Approved,Quality hold pending lab results,2026-06-24 00:14:16.766567,57.0,57.0,0.0,1.0
PO000026,SUP0036,PRD0016,2997.0,1283.0,2244.67,6727275.99,CAD,1.0,2023-02-19,2023-04-10,2023-04-18,Partially Received,FCA,Rotterdam,21698.64,Maria Santos,Approved,,2026-06-24 00:14:16.766567,58.0,50.0,1.0,0.4281
PO000027,SUP0039,PRD0019,4731.0,4731.0,646.23,3057314.13,BRL,1.0,,2022-02-09,2022-02-19,Fully Received,EXW,Yokohama,36311.93,Robert Kleinman,Approved,,2026-06-24 00:14:16.766567,,,1.0,1.0
PO000028,SUP0008,PRD0017,2614.0,1868.0,1054.6,2756724.4,CAD,1.0,2023-04-25,2023-05-16,2023-05-16,Open,DDP,Yokohama,20646.62,Maria Santos,Approved,TBD,2026-06-24 00:14:16.766567,21.0,21.0,0.0,0.7146
PO000030,SUP0012,PRD0012,4532.0,4532.0,1229.07,5570145.24,CAD,1.2681,2024-07-26,2024-08-23,2024-08-28,Fully Received,DAP,Hamburg,34913.55,Priya Patel,Approved,,2026-06-24 00:14:16.766567,33.0,28.0,1.0,1.0
PO000031,SUP0025,PRD0035,3438.0,3438.0,,9673431.84,JPY,1.0,2022-06-03,2022-07-02,2022-07-15,Fully Received,EXW,Yokohama,11831.34,Luca Ferretti,Approved,Expedited shipping requested,2026-06-24 00:14:16.766567,42.0,29.0,1.0,1.0
PO000032,SUP0001,PRD0023,4750.0,4750.0,2109.42,10019745.0,USD,0.8743,2023-02-24,2023-04-15,2023-04-22,Fully Received,FOB,Vancouver,31036.61,Priya Patel,Approved,,2026-06-24 00:14:16.766567,57.0,50.0,1.0,1.0
PO000033,SUP0017,PRD0002,2244.0,2244.0,1847.75,4146351.0,USD,1.0,2023-06-07,2023-07-01,2023-05-07,Fully Received,EXW,Port Of Ny,4860.82,James Chen,Approved,Expedited shipping requested,2026-06-24 00:14:16.766567,-31.0,24.0,0.0,1.0
PO000034,SUP0025,PRD0024,2821.0,2821.0,2539.95,7165198.95,NOK,1.0,2024-09-28,,2024-10-18,Fully Received,FOB,Yokohama,10940.47,Robert Kleinman,Approved,,2026-06-24 00:14:16.766567,20.0,,0.0,1.0
PO000035,SUP0037,PRD0034,301.0,0.0,2011.01,605314.01,SEK,1.0,2024-06-09,2024-07-09,,Open,FCA,<Na>,1917.63,Priya Patel,Approved,,2026-06-24 00:14:16.766567,,30.0,,0.0
PO000036,SUP0011,PRD0017,870.0,0.0,,133327.5,EUR,1.0,2023-11-01,,,Open,CIF,Vancouver,2001.5,Priya Patel,Approved,,2026-06-24 00:14:16.766567,,,,0.0
PO000037,SUP0014,PRD0012,-177.0,0.0,,362777.43,CAD,1.0976,2022-07-14,2022-10-07,,Cancelled,EXW,Vancouver,1311.99,Robert Kleinman,Approved,Expedited shipping requested,2026-06-24 00:14:16.766567,,85.0,,
PO000038,SUP0005,PRD0032,2156.0,2156.0,1645.02,3546663.12,USD,1.0,2023-03-09,2023-05-01,2023-05-29,Fully Received,CIF,Hamburg,5498.57,Maria Santos,Approved,,2026-06-24 00:14:16.766567,81.0,53.0,1.0,1.0
PO000039,SUP0012,PRD0009,3965.0,1154.0,,5690052.55,CAD,1.0,2023-01-08,2023-01-28,2023-02-05,Partially Received,FOB,Port Of La,18030.19,Robert Kleinman,Approved,,2026-06-24 00:14:16.766567,28.0,20.0,1.0,0.291
PO000041,SUP0018,PRD0009,1330.0,520.0,1149.68,1529074.4,NOK,1.0,2024-12-11,,2025-02-12,Partially Received,CIF,Port Of La,4655.82,James Chen,Approved,TBD,2026-06-24 00:14:16.766567,63.0,,0.0,0.391
PO000042,SUP0022,PRD0016,4920.0,4920.0,1698.19,8355094.8,JPY,1.2138,2022-12-29,2023-02-09,2023-02-16,Fully Received,FOB,Port Of La,,Anna Kowalski,Approved,,2026-06-24 00:14:16.766567,49.0,42.0,1.0,1.0
PO000043,SUP0019,PRD0007,2247.0,2247.0,1675.47,3764781.09,JPY,,2024-01-09,2024-03-15,2024-03-30,Fully Received,EXW,<Na>,5273.19,Anna Kowalski,Approved,,2026-06-24 00:14:16.766567,81.0,66.0,1.0,1.0
PO000044,SUP0018,PRD0017,3298.0,3298.0,1042.13,3436944.74,BRL,,2024-07-15,2024-08-23,2024-09-11,Fully Received,FCA,Yokohama,19568.45,Priya Patel,Approved,,2026-06-24 00:14:16.766567,58.0,39.0,1.0,1.0
PO000045,SUP0016,PRD0013,1260.0,0.0,2450.52,3087655.2,NOK,1.0,2023-10-04,2023-12-26,,Open,FOB,Santos,5027.47,,Approved,,2026-06-24 00:14:16.766567,,83.0,,0.0
PO000046,SUP0029,PRD0039,0.0,0.0,211.03,0.0,JPY,1.0,2024-01-19,2024-03-31,2024-04-14,Partially Received,DDP,Yokohama,0.0,Anna Kowalski,Approved,,2026-06-24 00:14:16.766567,86.0,72.0,1.0,
PO000047,SUP0026,PRD0015,872.0,872.0,487.55,425143.6,USD,1.069,2023-02-08,2023-02-18,2023-03-01,Fully Received,FCA,Shanghai,2013.38,Robert Kleinman,Approved,Expedited shipping requested,2026-06-24 00:14:16.766567,21.0,10.0,1.0,1.0
PO000048,SUP0021,PRD0007,238.0,0.0,493.4,117429.2,SEK,1.0,2023-07-23,2023-10-04,,Open,EXW,Port Of La,705.51,Priya Patel,Pending,,2026-06-24 00:14:16.766567,,73.0,,0.0
PO000049,SUP0012,PRD0033,4569.0,4569.0,2847.37,13009633.53,NOK,,2022-01-18,2022-01-29,2022-01-25,Fully Received,FCA,Vancouver,24920.01,Robert Kleinman,Approved,Price renegotiated Q4,2026-06-24 00:14:16.766567,7.0,11.0,0.0,1.0
PO000050,SUP0012,PRD0019,2771.0,2771.0,1491.99,4134304.29,JPY,1.0,2023-01-12,2023-03-11,2023-03-26,Fully Received,CIF,Vancouver,13277.58,Luca Ferretti,Approved,,2026-06-24 00:14:16.766567,73.0,58.0,1.0,1.0
PO000051,SUP0010,PRD0032,4310.0,4310.0,,2825592.9,CAD,0.8147,2023-09-25,2023-10-30,2023-11-08,Partially Received,<NA>,Santos,9824.74,Anna Kowalski,Approved,,2026-06-24 00:14:16.766567,44.0,35.0,1.0,1.0
PO000052,SUP0008,PRD0002,2685.0,2685.0,1623.17,4358211.45,NOK,1.0902,2024-01-17,2024-01-31,2024-03-01,Fully Received,FCA,Shanghai,14787.07,James Chen,Approved,Price renegotiated Q4,2026-06-24 00:14:16.766567,44.0,14.0,1.0,1.0
PO000053,SUP0040,PRD0040,3982.0,2951.0,2931.79,,EUR,,2024-01-30,2024-04-18,2024-04-17,Partially Received,FOB,Shanghai,,Priya Patel,Approved,,2026-06-24 00:14:16.766567,78.0,79.0,0.0,0.7411
PO000054,SUP0006,PRD0024,2873.0,,324.14,931254.22,NOK,0.7517,2024-02-02,2024-03-29,,Open,EXW,Port Of La,,Robert Kleinman,Approved,,2026-06-24 00:14:16.766567,,56.0,,
PO000055,SUP0002,PRD0024,4074.0,2709.0,758.51,3090169.74,SEK,1.0,2022-05-05,2022-06-01,2022-06-16,Partially Received,DAP,Yokohama,21272.46,David Park,Approved,,2026-06-24 00:14:16.766567,42.0,27.0,1.0,0.6649
PO000056,SUP0015,PRD0016,3349.0,3349.0,128.18,429274.82,NOK,1.0276,2023-07-20,2023-09-15,2023-10-15,Fully Received,FCA,Santos,13235.17,James Chen,Approved,Price renegotiated Q4,2026-06-24 00:14:16.766567,87.0,57.0,1.0,1.0
PO000057,SUP0026,PRD0015,1329.0,1329.0,1476.45,1962202.05,SEK,0.8825,2022-03-11,2022-03-25,2022-04-09,Fully Received,FCA,Santos,883.98,Robert Kleinman,Approved,,2026-06-24 00:14:16.766567,29.0,14.0,1.0,1.0
PO000058,SUP0009,PRD0013,4529.0,4529.0,1218.49,,SEK,1.0,2023-07-15,,2023-08-30,Fully Received,CIF,Shanghai,12407.54,Maria Santos,Approved,,2026-06-24 00:14:16.766567,46.0,,0.0,1.0
PO000059,SUP0032,PRD0024,3762.0,3762.0,2374.98,8934674.76,SEK,1.0,2023-09-01,2023-09-17,2023-10-08,Partially Received,CIF,Yokohama,29491.36,Priya Patel,Approved,,2026-06-24 00:14:16.766567,37.0,16.0,1.0,1.0
PO000060,SUP0036,PRD0012,3886.0,539.0,2900.97,11273169.42,JPY,1.0,2023-07-13,2023-10-10,2023-10-21,Partially Received,EXW,Shanghai,,Luca Ferretti,Approved,,2026-06-24 00:14:16.766567,100.0,89.0,1.0,0.1387
PO000061,SUP0037,PRD0007,1706.0,1706.0,791.25,1349872.5,USD,1.0,2024-10-15,2024-12-26,2025-01-07,Fully Received,FOB,Hamburg,3951.38,David Park,Approved,Price renegotiated Q4,2026-06-24 00:14:16.766567,84.0,72.0,1.0,1.0
PO000062,SUP0029,PRD0006,934.0,934.0,2828.56,,EUR,1.0637,2022-06-22,2022-07-13,2022-08-01,Fully Received,FOB,<Na>,6992.52,Luca Ferretti,Approved,Quality hold pending lab results,2026-06-24 00:14:16.766567,40.0,21.0,1.0,1.0
PO000063,SUP0001,PRD0005,4422.0,4422.0,979.42,,USD,1.0,2024-09-11,2024-11-27,2024-12-03,Fully Received,EXW,Port Of La,16895.48,Luca Ferretti,Approved,,2026-06-24 00:14:16.766567,83.0,77.0,1.0,1.0
PO000064,SUP0028,PRD0028,2282.0,2009.0,,2803322.9,JPY,0.7545,,2025-03-17,2025-03-22,Partially Received,FCA,Yokohama,3064.84,Anna Kowalski,Approved,,2026-06-24 00:14:16.766567,,,1.0,0.8804
PO000065,SUP0009,PRD0004,3693.0,2392.0,643.27,2375596.11,USD,1.2047,2023-11-06,2024-01-11,2024-01-19,Partially Received,FCA,Santos,,Robert Kleinman,Approved,,2026-06-24 00:14:16.766567,74.0,66.0,1.0,0.6477
PO000066,SUP0037,PRD0034,2348.0,2348.0,,3723411.44,BRL,,2024-03-16,2024-02-06,2024-06-23,Fully Received,DAP,Rotterdam,8310.93,Luca Ferretti,Approved,,2026-06-24 00:14:16.766567,99.0,-39.0,1.0,1.0
PO000067,SUP0004,PRD0021,2266.0,2266.0,2834.95,6423996.7,JPY,1.0,2024-05-10,2024-06-28,2024-07-08,Fully Received,FCA,Yokohama,13949.14,Luca Ferretti,Approved,,2026-06-24 00:14:16.766567,59.0,49.0,1.0,1.0
PO000068,SUP0008,PRD0025,1710.0,1710.0,2584.83,,BRL,1.2863,2023-04-21,2023-06-07,2023-07-05,Fully Received,FOB,Yokohama,4950.9,Robert Kleinman,Approved,Price renegotiated Q4,2026-06-24 00:14:16.766567,75.0,47.0,1.0,1.0
PO000069,SUP0019,PRD0012,4239.0,0.0,398.71,1690131.69,USD,1.0,2024-09-01,2024-10-11,,Open,FCA,Rotterdam,17698.15,Luca Ferretti,Approved,,2026-06-24 00:14:16.766567,,40.0,,0.0
PO000070,SUP0034,PRD0022,302.0,302.0,2504.83,756458.66,BRL,1.3161,2022-05-31,2022-06-20,2022-06-30,Fully Received,FOB,Port Of Ny,2333.94,,Pending,Quality hold pending lab results,2026-06-24 00:14:16.766567,30.0,20.0,1.0,1.0
PO000071,SUP0006,PRD0039,3027.0,3027.0,778.55,2356670.85,NOK,1.2877,2024-05-19,,2024-06-16,Fully Received,EXW,Shanghai,12535.48,David Park,Approved,,2026-06-24 00:14:16.766567,28.0,,0.0,1.0
PO000072,SUP0015,PRD0001,3984.0,3984.0,1783.2,7104268.8,CAD,1.0,2023-09-01,,2023-11-20,Fully Received,FCA,Santos,28125.49,James Chen,Approved,,2026-06-24 00:14:16.766567,80.0,,0.0,1.0
PO000073,SUP0014,PRD0005,503.0,503.0,1866.27,938733.81,EUR,1.2456,2024-01-28,,2024-03-12,Fully Received,EXW,Shanghai,728.26,Priya Patel,Approved,,2026-06-24 00:14:16.766567,44.0,,0.0,1.0
PO000074,SUP0004,PRD0015,2431.0,1976.0,,1641143.79,CAD,0.8591,2023-02-10,2023-10-09,2023-10-13,Partially Received,CIF,Hamburg,13712.34,Priya Patel,Approved,Quality hold pending lab results,2026-06-24 00:14:16.766567,245.0,241.0,1.0,0.8128
PO000075,SUP0026,PRD0026,1718.0,888.0,1080.11,1855628.98,CAD,1.2683,2024-09-23,2024-10-19,2024-10-30,Partially Received,DAP,Port Of La,13707.78,Anna Kowalski,Approved,,2026-06-24 00:14:16.766567,37.0,26.0,1.0,0.5169
PO000076,SUP0005,PRD0024,3757.0,,997.95,3749298.15,SEK,1.0,2023-02-13,2023-03-10,2023-03-28,Fully Received,DAP,Port Of Ny,13895.7,James Chen,Approved,Expedited shipping requested,2026-06-24 00:14:16.766567,43.0,25.0,1.0,
PO000077,SUP0005,PRD0025,4275.0,4275.0,2024.17,8653326.75,SEK,1.1894,,2024-07-07,2024-08-05,Fully Received,CIF,Vancouver,8077.07,Anna Kowalski,Approved,,2026-06-24 00:14:16.766567,,,1.0,1.0
PO000078,SUP0024,PRD0025,2120.0,2120.0,768.6,1629432.0,EUR,1.0,2024-08-24,2024-09-09,2024-09-22,Fully Received,EXW,Port Of La,8467.94,Maria Santos,Rejected,,2026-06-24 00:14:16.766567,29.0,16.0,1.0,1.0
PO000079,SUP0014,PRD0005,1863.0,1863.0,542.71,1011068.73,BRL,1.2902,,2022-10-30,2022-11-15,Fully Received,CIF,Hamburg,13922.34,Luca Ferretti,Approved,,2026-06-24 00:14:16.766567,,,1.0,1.0
PO000080,SUP0012,PRD0021,-3253.0,-3253.0,2133.63,6940698.39,<NA>,1.0476,2022-12-13,2022-12-20,2022-12-31,Fully Received,CIF,Port Of La,20860.88,David Park,Approved,,2026-06-24 00:14:16.766567,18.0,7.0,1.0,
PO000081,SUP0001,PRD0027,4831.0,0.0,2151.61,10394427.91,<NA>,1.0,2024-11-24,2025-02-02,,Open,DAP,Hamburg,15472.23,James Chen,Approved,Expedited shipping requested,2026-06-24 00:14:16.766567,,70.0,,0.0
PO000082,SUP0032,PRD0003,660.0,660.0,165.59,109289.4,EUR,1.0,2024-08-07,2024-09-18,2024-10-03,Fully Received,CIF,Yokohama,1902.11,Anna Kowalski,Approved,Price renegotiated Q4,2026-06-24 00:14:16.766567,57.0,42.0,1.0,1.0
PO000083,SUP0023,PRD0027,1530.0,1530.0,1746.54,2672206.2,EUR,1.0,2024-06-18,2024-07-08,2024-07-04,Fully Received,CIF,Port Of Ny,6712.19,Priya Patel,Approved,,2026-06-24 00:14:16.766567,16.0,20.0,0.0,1.0
PO000084,SUP0015,PRD0009,1017.0,1017.0,79.48,80831.16,<NA>,1.2228,2022-06-27,2022-07-18,2022-08-08,Fully Received,EXW,Hamburg,1249.09,,Approved,,2026-06-24 00:14:16.766567,42.0,21.0,1.0,1.0
PO000085,SUP0011,PRD0024,3735.0,1954.0,2532.38,9458439.3,BRL,0.9913,2023-04-29,2023-05-13,2023-05-24,Open,EXW,Hamburg,17114.25,Maria Santos,Approved,TBD,2026-06-24 00:14:16.766567,25.0,14.0,1.0,0.5232
PO000086,SUP0003,PRD0030,4011.0,4011.0,2586.04,10372606.44,NOK,1.217,2024-11-05,2025-09-01,2025-01-15,Fully Received,FOB,Shanghai,30797.55,Maria Santos,Approved,,2026-06-24 00:14:16.766567,71.0,300.0,0.0,1.0
PO000087,SUP0010,PRD0020,3906.0,3906.0,,8028626.76,EUR,1.2809,2024-07-17,2024-08-21,2024-08-09,Fully Received,CIF,<Na>,4136.85,Robert Kleinman,Approved,Price renegotiated Q4,2026-06-24 00:14:16.766567,23.0,35.0,0.0,1.0
PO000088,SUP0010,PRD0033,3342.0,3342.0,2125.41,7103120.22,SEK,1.0,2022-03-26,2022-06-15,2022-06-15,Fully Received,FOB,Santos,14948.93,Maria Santos,Approved,,2026-06-24 00:14:16.766567,81.0,81.0,0.0,1.0
PO000090,SUP0027,PRD0001,2457.0,0.0,434.21,1066853.97,CAD,0.8504,2022-06-09,2022-09-20,,Cancelled,EXW,<Na>,11218.05,Luca Ferretti,Approved,Quality hold pending lab results,2026-06-24 00:14:16.766567,,103.0,,0.0
PO000091,SUP0006,PRD0001,4234.0,4234.0,1069.56,4528517.04,USD,1.0521,2023-11-21,2024-02-06,2024-02-04,Fully Received,CIF,<Na>,12671.22,Luca Ferretti,Approved,Quality hold pending lab results,2026-06-24 00:14:16.766567,75.0,77.0,0.0,1.0
PO000092,SUP0030,PRD0036,1343.0,1343.0,2848.98,3826180.14,NOK,1.0008,2023-09-02,2023-10-11,2023-10-13,Fully Received,FOB,Rotterdam,8200.42,Priya Patel,Approved,,2026-06-24 00:14:16.766567,41.0,39.0,1.0,1.0
PO000093,SUP0022,PRD0011,1999.0,1999.0,1358.14,,SEK,1.0,2023-11-11,2023-12-20,2023-11-02,Fully Received,DAP,Yokohama,9626.24,James Chen,Approved,,2026-06-24 00:14:16.766567,-9.0,39.0,0.0,1.0
PO000094,SUP0040,PRD0007,4549.0,0.0,1152.31,5241858.19,CAD,0.8283,2024-11-23,2025-01-01,,Cancelled,FOB,Vancouver,28744.99,David Park,Approved,,2026-06-24 00:14:16.766567,,39.0,,0.0
PO000095,SUP0012,PRD0007,122.0,122.0,1009.89,123206.58,NOK,1.2292,2022-10-25,2022-11-29,2022-12-06,Fully Received,CIF,Vancouver,516.85,Robert Kleinman,Approved,,2026-06-24 00:14:16.766567,42.0,35.0,1.0,1.0
PO000096,SUP0011,PRD0029,4574.0,0.0,1667.4,7626687.6,SEK,1.0,2022-11-11,2023-01-05,,Cancelled,<NA>,Port Of La,31129.94,Robert Kleinman,Approved,,2026-06-24 00:14:16.766567,,55.0,,0.0
PO000097,SUP0031,PRD0014,4687.0,0.0,1973.39,9249278.93,USD,1.278,2023-01-21,2023-03-28,,Cancelled,CIF,<Na>,26649.71,Priya Patel,Approved,,2026-06-24 00:14:16.766567,,66.0,,0.0
PO000098,SUP0007,PRD0008,4065.0,0.0,1784.19,7252732.35,BRL,1.0,2023-03-13,2023-05-08,,Open,EXW,Port Of Ny,20865.5,Maria Santos,Approved,,2026-06-24 00:14:16.766567,,56.0,,0.0
PO000099,SUP0033,PRD0030,1598.0,0.0,859.68,1373768.64,BRL,1.0242,2022-12-26,2023-01-14,,On Hold,EXW,Santos,10076.28,Anna Kowalski,Approved,,2026-06-24 00:14:16.766567,,19.0,,0.0
PO000100,SUP0002,PRD0022,2241.0,1759.0,1565.62,3508554.42,SEK,1.0,2024-06-04,2024-05-15,2024-05-11,Partially Received,FCA,Port Of Ny,17036.69,Anna Kowalski,Approved,,2026-06-24 00:14:16.766567,-24.0,-20.0,0.0,0.7849
PO000102,SUP0021,PRD0039,3827.0,3827.0,,6400198.26,SEK,1.1343,2024-02-22,2024-03-07,2024-03-19,Fully Received,EXW,Port Of Ny,14269.5,Maria Santos,Approved,,2026-06-24 00:14:16.766567,26.0,14.0,1.0,1.0
PO000103,SUP0027,PRD0010,2043.0,0.0,1243.73,2540940.39,JPY,1.0,2024-08-13,2024-08-23,,Cancelled,FOB,<Na>,2724.3,Anna Kowalski,Approved,,2026-06-24 00:14:16.766567,,10.0,,0.0
PO000104,SUP0024,PRD0003,3447.0,0.0,999.58,3445552.26,USD,1.0,2022-09-23,2022-12-09,,Open,DDP,Santos,3411.1,Anna Kowalski,Approved,Quality hold pending lab results,2026-06-24 00:14:16.766567,,77.0,,0.0
PO000105,SUP0021,PRD0018,4386.0,4386.0,114.06,500267.16,EUR,0.9699,2022-07-05,2022-08-11,2022-09-03,Fully Received,FCA,Hamburg,18725.71,David Park,Approved,,2026-06-24 00:14:16.766567,60.0,37.0,1.0,1.0
PO000106,SUP0027,PRD0032,251.0,0.0,254.77,63947.27,CAD,1.0,2023-06-17,2023-07-20,,Open,CIF,Hamburg,1589.05,Robert Kleinman,Approved,,2026-06-24 00:14:16.766567,,33.0,,0.0
PO000108,SUP0032,PRD0036,4500.0,0.0,,13146345.0,CAD,1.0,2022-04-16,2022-06-29,,Open,EXW,Shanghai,9940.09,Anna Kowalski,Approved,TBD,2026-06-24 00:14:16.766567,,74.0,,0.0
PO000109,SUP0040,PRD0016,4539.0,3153.0,2480.32,11258172.48,BRL,1.0,2022-10-24,,2022-11-20,Fully Received,EXW,Port Of La,27010.0,Robert Kleinman,Approved,Expedited shipping requested,2026-06-24 00:14:16.766567,27.0,,0.0,0.6946
PO000110,SUP0016,PRD0033,2254.0,2254.0,1527.29,3442511.66,USD,1.0134,2024-04-20,2024-07-09,2024-07-23,Fully Received,CIF,Rotterdam,17821.73,,Approved,,2026-06-24 00:14:16.766567,94.0,80.0,1.0,1.0
PO000111,SUP0009,PRD0014,4096.0,0.0,1891.99,7749591.04,CAD,0.8047,2024-11-13,2024-12-13,,Cancelled,EXW,<Na>,17978.98,Maria Santos,Approved,,2026-06-24 00:14:16.766567,,30.0,,0.0
PO000112,SUP0015,PRD0040,3591.0,910.0,2715.39,9750965.49,BRL,1.0,,2022-05-19,2022-06-01,Partially Received,DDP,Yokohama,2923.68,David Park,Approved,Quality hold pending lab results,2026-06-24 00:14:16.766567,,,1.0,0.2534
