OrderID,CustomerID,ProductID,Division,OrderedQty,UnitPrice_USD,LineTotal_USD,DiscountPct,OrderDate,RequestedDeliveryDate,Status,SalesChannel,SalesRepID,POReference,SpecialInstructions,IsRush,SourceSystem
SO0000015,CUST00060,PRD0009,Lindenmeyr Publications,1106,2141.91,2368952.46,17.5,2023-06-11,10 July 2023,Delivered,Direct Sales,REP039,,N/A,0,EDI
SO0000016,CUST00010,PRD0008,Central National,817,21.1,17238.7,15.8,2024-03-22,2024-04-08,On Hold,Direct Sales,REP015,CUST-PO-76690,,0,EDI
SO0000017,CUST00055,PRD0033,,1389,345.34,479677.26,18.9,2024-08-14,2024-08-27,Delivered,Inside Sales,REP037,CUST-PO-78627,,0,SQL_Server_Sales
SO0000018,CUST00063,PRD0020,Lindenmeyr Publications,1521,$0.00,0.0,16.9,18-Jan-2024,2024-02-09,Partially Shipped,Inside Sales,REP017,CUST-PO-57374,Fragile - handle with care,0,EDI
SO0000019,CUST00048,PRD0010,North American Distribution,1465,$19.23,28171.95,6.5,2023-01-31,2023-02-28,Confirmed,Inside Sales,REP004,CUST-PO-54148,,0,EDI
SO0000020,CUST00048,PRD0025,Lindenmeyr Publications,-369,2419.73,892880.37,15.0,2022-04-10,2022-04-15,Delivered,Broker,REP021,CUST-PO-41230,TBC,0,
SO0000021,CUST00058,PRD0014,Lindenmeyr Publications,14,511.83,7165.62,14.0,14 March 2024,04/10/24,Delivered,Inside Sales,,CUST-PO-67108,,0,CRM
SO0000022,CUST00046,PRD0034,Lindenmeyr Publications,111,818.0 USD,90798.0,12.2,2022-11-24,11-Dec-2022,Delivered,,REP033,CUST-PO-70083,,1,SQL_Server_Sales
SO0000023,CUST00050,PRD0039,Lindenmeyr Publications,450,1296.9,583605.0,19.0,2022-02-28,2022-03-22,Delivered,Direct Sales,REP028,CUST-PO-18138,Deliver to dock B,0,
SO0000024,CUST00018,PRD0029,North American Distribution,1354,2594.01,3512289.54,8.9,18/12/2024,2025-01-13,Delivered,Inside Sales,REP023,CUST-PO-75160,TBC,No,EDI
SO0000025,CUST00022,PRD0038,Lindenmeyr Publications,162,1447.35,234470.7,3.8,2022-11-06,2022-11-15,Delivered,Broker,REP017,CUST-PO-24839,,0,CRM
SO0000026,CUST00037,PRD0011,Central National,1839,"$1,676.48",3083046.72,16.0,2023-10-14,2023-10-24,Delivered,Direct Sales,REP019,CUST-PO-79917,,Yes,Web Portal
SO0000027,CUST00048,PRD0018,North American Distribution,1178,3078.62,3626614.36,2.8,2023-04-19,2023-04-23,Delivered,DIRECT SALES,REP006,CUST-PO-54401,,TRUE,EDI
SO0000028,CUST00061,PRD0036,North American Distribution,1704,2160.51,3681509.04,11.1,2024-12-21,09/01/2025,Delivered,Inside Sales,REP008,CUST-PO-75897,Requires lift gate,0,Web Portal
SO0000029,CUST00056,PRD0006,Lindenmeyr Publications,464,248.81,115447.84,4.0,2023-12-28,16-Jan-2024,Processing,Inside Sales,REP034,CUST-PO-76757,,0,SQL_Server_Sales
SO0000030,CUST00018,PRD0023,North American Distribution,1181,1843.22,2176842.82,17.5,2024-09-09,27-Sep-2024,Delivered,Broker,REP018,CUST-PO-93907,,0,EDI
SO0000031,CUST00005,PRD0004,North American Distribution,390,1453.01,"$566,673.90",14.0,08/05/2022,2022-05-29,Confirmed,Broker,REP030,,N/A,0,Web Portal
SO0000032,CUST00007,PRD0019,Lindenmeyr Publications,457,1131.72,517196.04 USD,9.2,04-04-2024,2024-04-21,delivered,Agent,REP010,CUST-PO-86136,,0,SQL_Server_Sales
  SO0000033,CUST00028,PRD0020,Lindenmeyr Publications,908,2537.83,2304349.64,19.4,2024-08-30,2024-09-20,On Hold,Broker,REP028,CUST-PO-14076,Fragile - handle with care,0,Web Portal
SO0000034,CUST99831,PRD0040,Central National,1685,244.24,411544.4,3.6,2022-11-05,2022-11-25,Delivered,Inside Sales,REP010,CUST-PO-38652,,1,SQL_Server_Sales
SO0000035,CUST00014,PRD0006,Central National,1303,3101.35,4041059.05,13.0,2024-05-19,2024-05-30,Shipped,INSIDE SALES,REP002,CUST-PO-70745,,Yes,Web Portal
SO0000036,CUST00015,PRD0033,,449,1075.29,482805.21,17.2,12-Apr-2023,2023-05-08,Cancelled,DIRECT SALES,REP033,CUST-PO-19901,,Yes,EDI
SO0000037,CUST00067,PRD0035,North American Distribution,1451,2659.67,3859181.17 USD,13.2,2022-04-13,06-May-2022,Delivered,INSIDE SALES,REP012,CUST-PO-28141,,0,Web Portal
SO0000038,CUST00055,PRD0012,North American Distribution,1747,2419.88,4227530.36,0.4,08-19-2024,01-Sep-2024,Delivered,Inside Sales,REP040,CUST-PO-31070,Fragile - handle with care,0,Web Portal
SO0000039,CUST00041,PRD0015,North American Distribution,31,1120.91,34748.21,3.5,2023-10-04,2023-10-11,Delivered,Agent,REP021,CUST-PO-98733,,0,SQL_Server_Sales
SO0000040,CUST00019,PRD0017,Lindenmeyr Publications,1846,366.95,677389.7,4.5,05-21-2023,05-30-2023,DELIVERED,Inside Sales,REP008,CUST-PO-41923,,0,CRM
SO0000041,CUST00010,PRD0007,Lindenmeyr Publications,1442,916.64,1321794.88,11.6,2022-04-08,16 April 2022,Shipped,Inside Sales,REP039,CUST-PO-10975,Requires lift gate,0,CRM
SO0000042,CUST00068,PRD0021,Lindenmeyr Publications,-1039,1183.03,1229168.17,18.1,2024-10-19,10-24-2024, Delivered,Agent,REP013,CUST-PO-28311,Fragile - handle with care,0,
SO0000043,CUST00034,PRD0011,Central National,1934,1286.69,2488458.46,10.1,2023-09-06,13 September 2023,Processing,Inside Sales,REP006,CUST-PO-87816,Call before delivery,0,CRM
SO0000044,CUST00050,PRD0011,North American Distribution,402,2817.03,1132446.06 USD,17.7,16/05/2023,2023-05-20,   Delivered,E-Commerce,REP003,CUST-PO-52780,,0,CRM
SO0000045,CUST00044,PRD0040,Lindenmeyr Publications,1509,1020.45,1539859.05,6.0,2023-09-03,2023-09-08,Shipped,,REP032,CUST-PO-37697,Fragile - handle with care,0,SQL_Server_Sales
SO0000046,CUST00022,PRD0022,Lindenmeyr Publications,1814,507.24,920133.36,18.1,2023-08-04,2023-08-30,Delivered,,REP012,CUST-PO-63060,,0,SQL_Server_Sales
SO0000047,CUST00043,PRD0007,Lindenmeyr Publications,1901,66.45 USD,126321.45,11.9,2022-06-13,2022-06-22,Partially Shipped,Inside Sales,REP034,CUST-PO-76362,TBC,0,SQL_Server_Sales
   SO0000048  ,  CUST00011 ,PRD0004,LINDENMEYR PUBLICATIONS,1736,1150.82,1997823.52,2.6,2022-05-27,2022-06-19,Shipped,broker,REP008,CUST-PO-13523,,TRUE,SQL_Server_Sales
SO0000049,CUST00039,PRD0003,,301,1915.05,576430.05,0.2,2024-11-11,2024-12-09,Delivered,Direct Sales,REP004,CUST-PO-66078,,0,CRM
SO0000050,CUST00005,PRD0029,Central National,1646,1369.55,2254279.3,8.8,2023-01-29,02/07/23,delivered,Broker,REP038,CUST-PO-48981,,0,Web Portal
SO0000051,CUST00010,PRD0026,North American Distribution,347,2461.95,854296.65,,2023-02-22,06/03/2023,Shipped,Agent,REP032,CUST-PO-26902,TBC,No,CRM
SO0000052,CUST00044,PRD0005,Central National,1238,1837.98,2275419.24,0.1,12/01/2024,10-Feb-2024,Delivered,Direct Sales,REP027,CUST-PO-75616,N/A,0,EDI
SO0000053, CUST00037 ,PRD0009,Central National,924,1132.9,"$1,046,799.60",,2023-01-26,10-Feb-2023,Processing,Direct Sales,REP004,CUST-PO-49726,,0,CRM
SO0000054,CUST00031,PRD0036,North American Distribution,922,1229.29,1133405.38,11.4,11-Feb-2024,27 February 2024,Delivered,Inside Sales,REP009,CUST-PO-29800,TBC,0,SQL_Server_Sales
SO0000055,CUST00031,PRD0026,Central National,1988,2432.43,4835670.84,8.5,2024-02-04,2024-02-27,Delivered,Inside Sales,REP023,CUST-PO-10643,,1,
SO0000056,CUST00059,PRD0013,North American Distribution,555,1741.58,966576.9,16.1,2022-08-18,2022-09-06,Cancelled,Broker,REP032,CUST-PO-50926,,0,SQL_Server_Sales
SO0000057,CUST00002,PRD0027,Lindenmeyr Publications,862,2832.52,2441632.24,12.5,10-28-2024,2024-10-31,Delivered,Inside Sales,,CUST-PO-77953,,Yes,Web Portal
SO0000058,CUST00002,PRD0033,Central National,468,325.9,152521.2,9.5,2023-11-10,07 December 2023,Processing,Inside Sales,,CUST-PO-69185,,0,EDI
SO0000059,CUST00044,PRD0032,Central National,1090,1694.71,1847233.9 USD,4.0,09 January 2023,14/01/2023,Delivered,Agent,REP025,CUST-PO-90134,,0,Web Portal
SO0000060,CUST00045,PRD0005,North American Distribution,1917,99.33,190415.61 USD,9.3,10-02-2024,09/20/24,Delivered,E-Commerce,REP014,,Deliver to dock B,0,EDI
SO0000061,CUST00032,PRD0032,Central National,856,3040.54,2602702.24,16.7,2023-07-01,2023-07-06, Delivered,E-Commerce,REP022,CUST-PO-13861,,1,Web Portal
SO0000062,CUST00063,PRD0033,Lindenmeyr Publications,257,2534.64,651402.48,14.0,2022-09-21,2022-10-01,Cancelled,INSIDE SALES,REP029,CUST-PO-91077,,TRUE,CRM
SO0000063,CUST00031,PRD0038,Central National,161,2368.6,381344.6,0.6,2023-03-13,2023-04-05,Delivered,Direct Sales,,CUST-PO-48579,Fragile - handle with care,Yes,EDI
SO0000064,CUST00012,PRD0006,North American Distribution,1879,203.54,382451.66,15.3,03/02/24,2024-04-01,Delivered,Inside Sales,REP006,CUST-PO-86783,,0,Web Portal
SO0000065,CUST00036,PRD0029,Lindenmeyr Publications,325,1422.7,"$462,377.50",6.2,11-11-2022,2022-11-22,Delivered,E-Commerce,REP012,CUST-PO-17891,,0,SQL_Server_Sales
SO0000066,CUST00040,PRD0026,Central National,0,2255.79,0.0,2.9,2022-04-21,2022-04-26,Delivered,Broker,REP023,CUST-PO-75821,Call before delivery,1,Web Portal
SO0000067,CUST00060,PRD0006,Central National,1249,1798.48,2246301.52,14.1,2023-04-30,2023-05-05,Delivered,Agent,REP003,CUST-PO-21180,N/A,0,SQL_Server_Sales
SO0000068,CUST00063,PRD0030,Central National,1713,820.74,1405927.62,15.9,2022-09-23,09-30-2022,Delivered,Broker,,CUST-PO-36809,Call before delivery,0,CRM
   SO0000069  ,CUST00029,PRD0027,North American Distribution,1012,2400.15,2428951.8,19.0,2024-06-05,2024-06-19,Shipped,,REP039,CUST-PO-13171,Fragile - handle with care,0,EDI
SO0000070,CUST00023,PRD0010,North American Distribution,408,$379.73,154929.84,6.0,2024-06-11,2024-07-01,Confirmed,Broker,REP019,CUST-PO-99062,,0,CRM
SO0000071,CUST00011,,North American Distribution,566,810.96,459003.36,10.6,2024-08-10,2024-08-31,Delivered,direct sales,REP023,CUST-PO-88557,N/A,0,SQL_Server_Sales
SO0000072,CUST00041,PRD0040,North American Distribution,0,3070.46,0.0,10.8,2024-01-12,2024-02-02,Delivered,E-Commerce,REP004,CUST-PO-35811,Call before delivery,0,CRM
SO0000073,CUST99813,PRD0030,Central National,1571,2283.76,3587786.96,1.9,2022-08-14,2022/08/27,shipped,Inside Sales,REP039,CUST-PO-91312,Deliver to dock B,1,CRM
SO0000074,CUST00060,PRD0023,North American Distribution,1260,1251.28 USD,1576612.8,11.6,2022-07-15,2022/07/23,Delivered,Agent,REP030,CUST-PO-40855,Requires lift gate,0,Web Portal
SO0000075,CUST00006,PRD0016,Central National,1017,496.39,504828.63,19.1,2022-05-05,15/05/2022,Delivered,e-commerce,REP037,CUST-PO-70096,Requires lift gate,0,
SO0000076,CUST00014,PRD0029,Lindenmeyr Publications,1862,780.26,1452844.12,9.5,2022-07-29,2022/08/06,Processing,E-Commerce,REP024,CUST-PO-90546,,0,CRM
SO0000077,CUST00036,PRD0002,Central National,1185,3005.45,3561458.25,1.9,2024-09-01,2024-09-07,Delivered,E-Commerce,REP017,CUST-PO-96133,,1,Web Portal
SO0000078,CUST00001,PRD0009,Lindenmeyr Publications,759,1577.27 USD,1197147.93,13.0,20 May 2022,12/06/2022,Delivered,Inside Sales,REP006,CUST-PO-55731,Deliver to dock B,0,Web Portal
SO0000079,CUST00036,PRD0015,North American Distribution,94,2278.85,214211.9,8.5,2023-05-15,2023-06-02,Shipped,Direct Sales,REP024,CUST-PO-51245,,0,EDI
SO0000080,CUST00042,PRD0037,Lindenmeyr Publications,1791,325.96 USD,583794.36,5.6,02 June 2023,2023-06-29,Delivered,Direct Sales,REP040,,Fragile - handle with care,0,SQL_Server_Sales
SO0000081,CUST00050,PRD0021,Lindenmeyr Publications,657,1670.47,1097498.79,13.3,2022-11-17,2022-11-21,Delivered,Agent,REP011,CUST-PO-80397,,0,EDI
SO0000082,CUST00006,PRD0022,Lindenmeyr Publications,-167,1664.4,277954.8,1.9,2022-05-28,2022-06-05,Delivered,DIRECT SALES,REP018,CUST-PO-48802,,0,CRM
SO0000083,CUST00033,PRD0006,Lindenmeyr Publications,611,1238.4,756662.4,9.7,2024-05-11,2024-06-03,Delivered,E-Commerce,REP020,CUST-PO-36357,,No,CRM
SO0000084,CUST00007,PRD0013,Central National,1648,1754.97,2892190.56,8.1,2023-02-23,03-06-2023,Processing,Direct Sales,REP002,CUST-PO-51159,,0,SQL_Server_Sales
SO0000085,CUST00040,PRD0020,Central National,0,1191.78,0.0,6.6,2022-02-28,2022-03-09,Delivered,broker,REP035,CUST-PO-75605,,0,Web Portal
SO0000086,CUST00030,PRD0006,Lindenmeyr Publications,351,243.76,85559.76,9.0,2022-11-12,2022-11-17,Processing,Agent,REP016,CUST-PO-92619,,0,EDI
SO0000087,CUST00024,PRD0002,North American Distribution,515,813.89,419153.35,19.1,2023-03-20,2023-04-09,Shipped,Agent,REP013,CUST-PO-99735,,0,CRM
SO0000088,CUST00011,PRD0035,Central National,1789,1980.45,3543025.05,0.0,2024-03-10,2024-04-07,Delivered,,REP021,CUST-PO-60726,TBC,0,
SO0000089,  CUST00018,PRD0020,Central National,1280,2442.9,3126912.0,13.4,04-16-2023,05/07/23,Shipped,Inside Sales,REP040,CUST-PO-37239,Deliver to dock B,0,CRM
SO0000090,CUST00037,PRD0038,Lindenmeyr Publications,1438,2444.04,3514529.52,6.8,2022-01-04,01/29/22,On Hold,Direct Sales,REP031,,,0,EDI
SO0000091,CUST00038,PRD0009,Lindenmeyr Publications,979,2440.36,2389112.44,2.1,2023-05-28,26/06/2023,Delivered,Direct Sales,REP010,,Fragile - handle with care,0,SQL_Server_Sales
SO0000092,CUST00038,PRD0021,Central National,1476,2433.11,3591270.36,15.3,2024-03-02,2024/03/29,Delivered,Inside Sales,REP035,CUST-PO-59182,TBC,0,CRM
SO0000093,CUST00066,,Lindenmeyr Publications,1353,2972.02 USD,4021143.06,3.5,2023-12-06,2023/12/18,Shipped,Direct Sales,REP038,CUST-PO-98051,,0,CRM
SO0000094,CUST00023,PRD0002,Central National,1873,3062.11,5735332.03,11.5,24/01/2024,19 February 2024,Cancelled,Direct Sales,REP033,CUST-PO-67103,,0,EDI
SO0000095,CUST00013,PRD0010,Lindenmeyr Publications,1297,0.0,0.0,11.6,2023-05-22,2023-06-05,Partially Shipped,E-Commerce,REP004,CUST-PO-43253,Requires lift gate,1,SQL_Server_Sales
SO0000096,CUST00048,PRD0032,North American Distribution,236,2076.52,490058.72,10.5,2023-02-04,25/02/2023,Delivered,Inside Sales,,CUST-PO-39461,,1,Web Portal
SO0000097,CUST00041,PRD0027,Central National,-117,1362.98 USD,159468.66,2.5,2023-05-11,2023/06/09,Delivered,DIRECT SALES,REP019,CUST-PO-20198,N/A,1,Web Portal
SO0000098,CUST00029,PRD0014,central national,1019,274.42,279633.98,10.4,2023-06-08,2023-06-22,Delivered,Direct Sales,REP007,CUST-PO-90380,Call before delivery,1,EDI
SO0000099,CUST99688,PRD0020,,1400,91.49 USD,128086.0 USD,13.0,2024-06-21,2024-07-03,Delivered,Direct Sales,REP007,CUST-PO-21210,TBC,0,CRM
SO0000100,  CUST00040  ,PRD0008,Central National,736,3119.61,2296032.96,1.6,2024-11-11,2024/11/21,Delivered,Agent,REP008,CUST-PO-76071,,TRUE,SQL_Server_Sales
  SO0000101,CUST00061,PRD0029,North American Distribution,69,233.04,16079.76,15.5,27/01/2024,2024-01-30,Delivered,Direct Sales,REP005,CUST-PO-79817,Fragile - handle with care,1,CRM
SO0000102,CUST00032,,lindenmeyr publications,1062,2776.35,2948483.7,13.3,01-13-2023,2023-01-22,On Hold,Broker,REP015,CUST-PO-63334,Fragile - handle with care,0,CRM
SO0000103,CUST00051,PRD0016,North American Distribution,605,1316.41,796428.05,2.9,2022-01-23,21-Feb-2022,Delivered,Broker,REP002,CUST-PO-66887,,0,CRM
SO0000104,CUST00010,PRD0026,Lindenmeyr Publications,859,$0.00,0.0,4.7,2024-06-15,2024-07-09,Delivered,E-Commerce,REP037,CUST-PO-62789,,0,CRM
SO0000105,CUST00016,PRD0034,Lindenmeyr Publications,1196,2966.31,3547706.76,6.1,01/05/23,2023-01-27, Delivered,Inside Sales,REP001,CUST-PO-91840,Deliver to dock B,0,Web Portal
SO0000106,CUST00014,PRD0037,,1565,2260.76,3538089.4,13.0,14/01/2022,02-13-2022,Delivered,Direct Sales,REP033,CUST-PO-28207,,0,SQL_Server_Sales
SO0000107,CUST00003,PRD0022,Central National,1006,2056.75,2069090.5,0.7,13 November 2024,2024-12-02,Delivered,Direct Sales,REP016,CUST-PO-53963,,0,
SO0000108,CUST00069,PRD0017,Central National,1801,3153.54,5679525.54,14.7,2022-12-02,2022-12-05,Shipped,Inside Sales,REP027,CUST-PO-57337,TBC,1,Web Portal
SO0000109,   CUST00015  ,PRD0011,Central National,724,1984.13,1436510.12 USD,16.3,2023/01/08,2022-12-31, DELIVERED,Broker,REP003,CUST-PO-53354,,Yes,CRM
SO0000110,CUST00022,,Lindenmeyr Publications,1633,"$1,858.11",3034293.63,6.3,2022-05-02,2022-05-28,Delivered,E-Commerce,REP035,,,0,
SO0000111,CUST00023,PRD0026,Lindenmeyr Publications,849,3074.35,2610123.15,18.1,2023-07-19,07-27-2023,Delivered,Agent,REP005,CUST-PO-31694,,0,SQL_Server_Sales
SO0000112,CUST00009,PRD0010,Lindenmeyr Publications,109,1744.05,190101.45,7.0,2022-03-31,22/04/2022,Delivered,Direct Sales,REP018,CUST-PO-74732,,0,Web Portal
SO0000113,CUST00014,PRD0019,North American Distribution,244,777.17,189629.48,17.0,2022-06-17,07-17-2022,Confirmed,Inside Sales,REP015,CUST-PO-49987,,0,EDI
SO0000114,CUST00061,PRD0016,Central National,1500,802.25,1203375.0,13.2,07-16-2023,2023-08-14,Delivered,Agent,,CUST-PO-82794,TBC,0,Web Portal
SO0000115,CUST00065,PRD0017,Central National,887,1524.65,1352364.55,,2022-01-20,2022/02/05,Delivered,Broker,REP011,CUST-PO-17841,,1,EDI
SO0000116,CUST00001,PRD0037,,1581,2335.21,3691967.01,,01/04/22,2022-01-17,On Hold,Direct Sales,REP014,CUST-PO-64408,,0,SQL_Server_Sales
SO0000117,CUST00070,PRD0017,Central National,850,972.37,826514.5,18.9,2022-08-08,2022-08-30,Shipped,Broker,REP002,CUST-PO-77120,,0,
SO0000118,CUST00007,PRD0036,Central National,776,985.2,764515.2,1.8,2022-08-02,2022-09-01,Cancelled,Direct Sales,REP023,CUST-PO-70521,Requires lift gate,No,CRM
SO0000119,CUST00036,PRD0012,Lindenmeyr Publications,112,2969.16,332545.92,18.8,2022-07-01,2022-06-22,Delivered,agent,REP034,CUST-PO-85772,,TRUE,Web Portal
SO0000120,CUST00051,PRD0007,Lindenmeyr Publications,1934,2619.41,5065938.94,10.7,2023-05-20,2023-06-04,Delivered,Inside Sales,,CUST-PO-35496,,No,Web Portal
SO0000121,CUST00032,PRD0014,North American Distribution,282,2772.09,781729.38,2.5,2023-03-30,2023-04-27,Delivered,Direct Sales,REP019,CUST-PO-84820,,0,EDI
SO0000122,CUST00006,PRD0019,North American Distribution,998,1029.68,1027620.64,,2022-11-03,2022-12-02,Delivered,Inside Sales,REP039,CUST-PO-58702,,0,SQL_Server_Sales
SO0000123,CUST00015,PRD0013,,601,3177.32,1909569.32 USD,16.3,09 February 2022,02/23/22,Delivered,Inside Sales,REP039,CUST-PO-94260,,0,CRM
SO0000124,CUST00043,PRD0003,North American Distribution,593,2074.74,1230320.82,13.3,2024-05-01,2024-05-24,Delivered,direct sales,REP026,CUST-PO-84292,,1,CRM
SO0000125,CUST00031,PRD0018,Central National,1733,1189.56,2061507.48,3.0,2022-06-28,2022-07-05,Delivered,E-Commerce,,CUST-PO-99348,,0,EDI
SO0000126,CUST00037,PRD0009,Central National,1408,2142.11,3016090.88 USD,9.5,2023-08-15,08/24/23,Delivered,Broker,REP038,CUST-PO-57120,,0,EDI
SO0000127,CUST00047,PRD0023,North American Distribution,457,1701.88,777759.16,4.3,2023-10-10,11-04-2023,Delivered,,REP039,CUST-PO-26780,N/A,0,CRM
SO0000128,CUST00057,PRD0006,Lindenmeyr Publications,550,723.29,397809.5,12.3,2024-02-03,2024/02/17,Delivered,Broker,REP012,,,0,EDI
SO0000129,CUST00012,PRD0015,North American Distribution,459,271.63,124678.17,7.3,2024-05-04,20 May 2024,delivered,Broker,REP019,CUST-PO-38899,,0,CRM
SO0000130,CUST00001,PRD0031,lindenmeyr publications,1828,2340.54,4278507.12,11.7,27/09/2022,2022-10-19,Delivered,Inside Sales,REP030,CUST-PO-91592,,0,EDI
SO0000131,CUST00019,PRD0014,North American Distribution,556,1644.65,914425.4,1.3,2024-07-17,2024-08-14,Delivered,Broker,REP028,CUST-PO-25300,Fragile - handle with care,No,CRM
SO0000132,CUST00021,PRD0006,North American Distribution,301,152.49,45899.49,13.7,2024/04/28,2024-05-27,Partially Shipped,Broker,REP017,CUST-PO-75089,,0,EDI
SO0000133,CUST00017,PRD0013,Central National,642,"$1,536.75",986593.5,15.9,18-Oct-2024,2024-10-28,Delivered,E-Commerce,REP024,CUST-PO-53751,Requires lift gate,0,SQL_Server_Sales
SO0000134,CUST00070,PRD0031,Lindenmeyr Publications,1705,858.6,1463913.0,17.0,16/03/2022,2022-03-25,Delivered,AGENT,REP028,CUST-PO-29170,,0,Web Portal
SO0000135,CUST00043,PRD0003,North American Distribution,1119,2656.04,2972108.76,0.3,2022-03-29,04/07/22, Delivered ,AGENT,REP018,CUST-PO-15185,,Yes,SQL_Server_Sales
SO0000136,CUST00070,PRD0038,Central National,723,2998.71,2168067.33,4.5,2022-07-27,2022/08/16,Procesing,Agent,REP015,CUST-PO-59664,Call before delivery,0,EDI
SO0000137,CUST00004,PRD0037,Central National,641,2597.11,1664747.51,3.3,03/18/23,03-12-2023,On Hold,Inside Sales,REP030,CUST-PO-24624,,0,EDI
SO0000138,CUST00042,PRD0012,Central National,788,0.0,0.0,16.9,2022-08-04,2022-08-11,Delivered,Agent,REP037,CUST-PO-25711,,0,EDI
SO0000139,CUST00008,PRD0024,Lindenmeyr Publications,1678,2691.81,4516857.18,2.9,04/11/22,2022-04-20,DELIVERED,inside sales,REP026,CUST-PO-67756,,0,
  SO0000140 ,CUST00002,PRD0007,North American Distribution,1494,2665.8,3982705.2,11.5,02/28/22,19-Mar-2022,Delivered,Broker,REP011,CUST-PO-44261,,Yes,EDI
SO0000141,CUST00035,PRD0026,Lindenmeyr Publications,61,1086.71,66289.31,6.3,03-22-2022,2022-04-21,Delivered,E-Commerce,REP018,CUST-PO-68387,,0,CRM
SO0000142,CUST00035,PRD0005,North American Distribution,1116,578.92,646074.72,17.8,2023-08-07,2023-09-05,Cancelled,Inside Sales,REP017,CUST-PO-72260,TBC,0,SQL_Server_Sales
SO0000143,CUST00068,PRD0004,CENTRAL NATIONAL,0,88.88,0.0,7.1,2024-03-11,27 March 2024,Processing,Broker,REP009,CUST-PO-88846,TBC,0,EDI
SO0000144,CUST00042,PRD0037,Lindenmeyr Publications,1023,635.43,650044.89,1.0,12-Nov-2022,2022-11-29,Delivered,Broker,REP006,CUST-PO-20211,,TRUE,Web Portal
SO0000145,CUST00030,PRD0018,North American Distribution,579,2532.15,1466114.85,14.8,06-21-2023,17/07/2023,Delivered,E-Commerce,REP021,,Call before delivery,0,CRM
SO0000146,CUST00020,PRD0013,,3,2534.77,7604.31,8.8,2023-03-27,2023-04-09,Processing,Agent,REP019,CUST-PO-48467,,0,SQL_Server_Sales
SO0000147,CUST00070,PRD0018,Lindenmeyr Publications,514,1428.58,734290.12,0.2,2023-07-13,2023-07-31,Delivered,Broker,REP004,CUST-PO-67241,N/A,TRUE,SQL_Server_Sales
SO0000148,CUST00057,PRD0004,Central National,1461,290.7,424712.7,13.0,2024-09-15,12/10/2024,Delivered,Inside Sales,REP021,CUST-PO-89702,,Yes,SQL_Server_Sales
SO0000149,CUST00019,PRD0027,Lindenmeyr Publications,1006,1677.83,1687896.98,7.2,13/12/2022,2023-01-10,   On Hold  ,E-Commerce,REP026,CUST-PO-34268,Deliver to dock B,0,SQL_Server_Sales
